"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
498,608070,"Ramírez, José",498,100,0.304,0.191,0.319,0.496,0.363,0.327,0.292,35,115,89.5,19.1,1776,86.3,86.56,46,225,273,0.29999999999999716,6.5,113,147,126,150,295,322,296,"-11.956","11.956","68.8","7.5",125,99,24,5,1,5,17,13.6,9,7.2,2.71744,0.37,1.21249,-1.21249,"92.2",148,42.42424242424242,5.05050505050505,4,5.65,-0.88,-0.23,1.76,0.355,5,"2.400803213",0.344,0.402,"-2.400803213",0.012,0.01100000000000001,0.094,0.036,20.4,"34.4",10.006466883510836,-12.54159471571049,31.352735841892372,0.6056338028169014,36.10608825160983,35.11105361134863
471,682829,"De La Cruz, Elly",471,100,0.261,0.135,0.31,0.396,0.308,0.336,0.293,29,111,86.3,3.7,1762,86.5,86.67,79,220,251,0.20000000000000284,6.45,114,147,120,150,297,324,300,"-1.351","1.351","73.3","7.6",119,89,20,5,2,2,22,18.5,8,6.7,2.6611,0.40905,1.1897,-1.1897,"91.6",119,31.46067415730337,7.865168539325842,5.88235294117647,5.73,-0.92,-0.26,1.86,0.311,7,"0.286836518",0.34,0.426,"-0.286836518",-0.032,-0.029000000000000026,-0.03,-0.028,35.9,"34.9",12.959721585306768,-5.635152530786723,33.71083502353798,0.6359447004608295,44.13303892888994,42.281059604362135
463,663728,"Raleigh, Cal",463,100,0.25,0.25,0.25,0.5,0.332,0.322,0.25,28,112,86.4,13.3,1749,85.8,85.81,80,235,228,0,6.36,114,148,127,150,298,325,298,"-5.499","5.499","72.2","8.4",121,91,14,7,0,7,23,19,7,5.8,2.73739,0.38885,1.21285,-1.21285,"92.2",156,37.362637362637365,10.989010989010989,8.264462809917356,5.72,-0.63,-0.24,1.79,0.289,10,"1.187688985",0.292,0.46,"-1.187688985",0,-0.0030000000000000027,0.04,0.01,34,"35.6",21.496276751797236,-14.611618158058123,35.470838951516896,0.33480176211453744,39.85603514513441,41.80621667332697
428,664023,"Happ, Ian",428,100,0.208,0.059,0.269,0.267,0.233,0.261,0.231,21,101,86.3,6.7,1815,86.2,86.24,59,195,233,0,6.36,116,148,119,150,297,323,298,"3.046","-3.046","71.1","7.3",107,78,15,6,0,0,23,21.5,6,5.6,2.67416,0.41472,1.18757,-1.18757,"91.2",132,35.8974358974359,5.128205128205128,3.7383177570093453,5.73,-0.53,-0.18,2.03,0.252,4,"-0.711682243",0.274,0.316,"0.711682243",-0.023,-0.02200000000000002,-0.049,-0.028,30.3,"35.5",14.257010565417477,-11.067823843190956,32.40388872905472,0.5105263157894737,39.91573148966779,38.698063294065165
416,668804,"Reynolds, Bryan",416,100,0.247,0.071,0.276,0.318,0.274,0.278,0.249,21,85,85.4,0.6,1805,86.3,86.45,60,194,222,0.20000000000000284,6.44,111,147,121,149,301,322,294,"1.884","-1.884","70.8","7.3",91,76,15,6,0,0,9,9.9,6,6.6,2.72293,0.36007,1.14406,-1.14406,"91.6",98,27.631578947368425,1.3157894736842104,1.098901098901099,5.7,-0.62,-0.15,1.85,0.297,1,"-0.452884615",0.299,0.327,"0.452884615",-0.002,-0.0020000000000000018,-0.009,-0.004,30.9,"35.8",16.98883947549779,-2.0756913707688565,37.770739802417154,0.47368421052631576,40.362057399293704,31.33096829062583
394,671732,"Butler, Lawrence",394,100,0.187,0.121,0.236,0.308,0.248,0.267,0.21,20,107,84.6,4.2,1785,86.6,86.6,80,203,191,0,6.4,118,146,117,151,294,325,304,"4.55","-4.55","73.9","7.7",116,75,13,4,0,3,32,27.6,9,7.8,2.72147,0.35231,1.19424,-1.10952,"91.0",122,28.000000000000004,5.333333333333334,3.4482758620689653,5.71,-1.81,-0.29,1.88,0.25,4,"-1.154822335",0.271,0.331,"1.154822335",-0.023,-0.02100000000000002,-0.023,-0.019,39.4,"35.5",12.995292310786382,-9.098910930462422,30.962489528942914,0.61,42.74764886432196,36.493568926398666
388,596019,"Lindor, Francisco",388,100,0.239,0.109,0.253,0.348,0.262,0.264,0.238,22,92,87.6,9.8,1810,86.1,86.33,42,198,190,0.20000000000000284,6.51,115,148,116,151,299,326,299,"0.686","-0.686","69.0","7.8",94,81,16,4,0,2,11,11.7,2,2.1,2.70005,0.39894,1.25052,-1.25052,"91.6",145,36.25,3.75,3.1914893617021276,5.7,-0.56,-0.11,1.94,0.255,3,"-0.176804124",0.255,0.358,"0.176804124",0.001,0,-0.01,-0.002,21.2,"35.3",12.452104141452898,-4.825197711306648,33.72732110323165,0.489247311827957,38.958516473402646,32.10118708667241
382,593871,"Polanco, Jorge",382,100,0.242,0.198,0.243,0.44,0.312,0.291,0.227,22,91,81.8,6.3,1774,86,86.12,70,190,192,0.09999999999999432,6.42,112,146,114,149,296,322,295,"-2.744","2.744","67.1","7.5",100,75,14,3,0,5,18,18,6,6,2.72382,0.3836,1.23204,-1.23204,"91.0",145,26.666666666666668,9.333333333333334,7.000000000000001,5.67,-0.9,-0.19,1.81,0.29,7,"0.718324607",0.281,0.371,"-0.718324607",0.015,0.008999999999999952,0.069,0.021,36.8,"34.9",11.938120691360854,-15.444450466572597,31.038290385423153,0.5824175824175825,41.69856396717909,35.75010786669167
370,660271,"Ohtani, Shohei",370,100,0.256,0.337,0.306,0.593,0.382,0.372,0.271,22,86,90.2,7.7,1851,87.2,87.43,57,161,209,0.20000000000000284,6.41,116,146,132,152,300,325,305,"-8.719","8.719","73.6","8.4",95,56,9,4,2,7,30,31.6,8,8.4,2.63759,0.37556,1.179,-0.79495,"94.2",144,49.122807017543856,15.789473684210526,9.473684210526317,5.68,-1.33,-0.38,1.77,0.319,9,"2.356486486",0.333,0.543,"-2.356486486",-0.015,-0.014000000000000012,0.05,0.01,35.4,"35.8",18.99282408862211,-9.513304337861904,37.57864706800875,0.5031055900621118,43.12722768374585,31.734789070323128
354,605137,"Bell, Josh",354,100,0.182,0.104,0.211,0.286,0.23,0.302,0.249,14,77,83.9,6,1812,86.6,86.78,55,151,203,0.20000000000000284,6.43,116,148,126,150,301,325,301,"3.159","-3.159","71.0","8.4",82,59,10,2,0,2,18,22,5,6.1,2.71884,0.34447,1.25127,-1.25127,"91.6",140,30.508474576271187,6.779661016949152,4.878048780487805,5.75,-0.65,-0.2,1.83,0.232,4,"-0.892372881",0.295,0.401,"0.892372881",-0.067,-0.06299999999999997,-0.115,-0.072,36.4,"34.4",14.493994156831176,-10.785562192814329,35.187729820254546,0.6308724832214765,42.816276333500156,33.40352745452107
