"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
316,596019,"Lindor, Francisco",316,100,0.156,0.094,0.205,0.25,0.215,0.206,0.148,10,64,87.3,11,2623,80.1,79.97,39,142,174,-0.09999999999999432,6.37,114,147,116,150,300,326,300,"3.115","-3.115","67.0","7.8",71,45,6,3,0,1,20,28.2,5,7,4.40728,-0.81307,-0.79121,0.79121,"90.7",111,28.888888888888886,4.444444444444445,2.8169014084507045,5.94,-0.68,-0.01,1.89,0.225,2,"-0.985759494",0.219,0.23,"0.985759494",0.008,0.006000000000000005,0.02,0.009,27.5,"41.6",14.738853008327789,-9.95421752020708,34.716515242561194,0.5227272727272727,34.965753824160906,34.91500732084142
299,695578,"Wood, James",299,100,0.196,0.143,0.333,0.339,0.266,0.237,0.174,11,56,88.9,12.3,2592,80.3,80.19,40,90,209,-0.09999999999999432,6.36,118,147,128,151,301,327,306,"0.377","-0.377","68.0","8.3",61,31,5,5,0,1,25,41,4,6.6,4.42288,-0.8552,-0.74204,0.50786,"92.3",127,45.16129032258064,6.451612903225806,3.278688524590164,5.95,-1.11,-0.13,1.96,0.262,2,"-0.126086957",0.242,0.284,"0.126086957",0.022,0.020000000000000018,0.055,0.029,44.4,"42.1",19.15800280309779,-6.5495536497603535,41.83462835495275,0.28888888888888886,38.3982743304581,40.11335375632422
287,645277,"Albies, Ozzie",287,100,0.118,0.088,0.148,0.206,0.167,0.178,0.148,8,68,81,24.4,2618,79.6,79.65,30,135,152,0,6.39,116,147,116,151,299,326,296,"5.828","-5.828","64.3","7.4",72,54,3,4,1,0,14,19.4,3,4.2,4.45735,-0.83856,-0.76046,0.76046,"89.6",121,14.814814814814813,0,0,5.99,-0.95,-0.11,1.89,0.167,0,"-2.030662021",0.195,0.19,"2.030662021",-0.03,-0.027999999999999997,0.016,-0.011,22.2,"41.7",15.433047408335273,-10.743093830464542,34.86631451939435,0.4393939393939394,31.43282812432193,41.579220111222064
284,621566,"Olson, Matt",284,100,0.21,0.274,0.231,0.484,0.331,0.407,0.262,13,62,93.7,13.8,2646,80,79.92,38,132,152,-0.09999999999999432,6.38,116,147,128,152,305,330,304,"-0.82","0.82","69.7","8.0",71,43,5,3,1,4,20,28.2,6,8.5,4.42053,-0.8273,-0.77736,0.4318,"93.8",153,51.162790697674424,20.930232558139537,12.676056338028168,5.96,-1,-0.11,1.94,0.296,9,"0.288732394",0.344,0.632,"-0.288732394",-0.052,-0.04799999999999999,-0.148,-0.076,28.8,"40.5",16.41217475203266,-9.919846566642995,34.876747866478794,0.4645669291338583,39.29846515325253,41.154151448899505
278,665833,"Cruz, Oneil",278,100,0.123,0.14,0.192,0.263,0.198,0.255,0.15,7,57,96.5,21.9,2619,80.5,80.53,54,110,168,0,6.44,120,146,127,152,304,328,304,"3.441","-3.441","73.0","8.2",64,28,4,0,1,2,31,48.4,4,6.3,4.41201,-0.86776,-0.73147,0.49673,"94.1",132,59.25925925925925,22.22222222222222,9.375,5.91,-1.15,-0.05,1.86,0.188,6,"-1.237769784",0.219,0.37,"1.237769784",-0.027,-0.031,-0.107,-0.057,49.1,"44.0",15.123208873433862,-19.784569073499245,35.10900839369532,0.4954128440366973,36.463975181473586,44.07911365972665
274,656941,"Schwarber, Kyle",274,100,0.164,0.273,0.174,0.436,0.307,0.299,0.174,9,55,86.4,26.1,2624,80.2,79.94,42,103,171,-0.29999999999999716,6.3,118,146,129,151,299,328,296,"-3.858","3.858","69.1","7.8",63,28,4,0,0,5,27,42.9,6,9.5,4.41018,-0.82288,-0.82558,0.21712,"91.9",131,46.42857142857143,21.428571428571427,9.523809523809524,6.01,-0.48,-0.28,1.83,0.27,6,"1.408029197",0.279,0.405,"-1.408029197",-0.01,-0.009000000000000008,0.031,0.008,40.8,"42.0",20.319098139720477,-17.325927453631927,29.81533659722363,0.3627450980392157,34.67473294699993,40.85649043186062
273,668804,"Reynolds, Bryan",273,100,0.153,0.083,0.225,0.236,0.181,0.212,0.185,11,72,89.3,7,2586,80.2,80.18,63,153,120,0,6.37,113,148,121,151,301,324,298,"6.342","-6.342","69.1","7.5",74,42,9,0,0,2,30,40.5,2,2.7,4.42656,-0.85231,-0.74132,0.74132,"91.4",100,28.57142857142857,4.761904761904762,2.7027027027027026,5.93,-0.84,0.03,1.85,0.176,2,"-2.323076923",0.207,0.279,"2.323076923",-0.032,-0.031,-0.043,-0.031,41.2,"43.7",18.701264783002653,-10.393106409820524,37.863799677870645,0.41721854304635764,36.26986246544559,35.730318471145296
268,672695,"Perdomo, Geraldo",268,100,0.245,0.102,0.286,0.347,0.305,0.326,0.292,12,49,84.9,2.3,2608,80,80.03,14,85,183,0,6.39,114,147,108,150,293,324,299,"-4.015","4.015","65.2","7.1",57,42,7,5,0,0,8,14,4,7,4.44437,-0.8556,-0.68891,0.68891,"90.2",112,14.285714285714285,0,0,5.96,-1.07,-0.08,1.86,0.333,0,"1.498134328",0.375,0.342,"-1.498134328",-0.047,-0.04199999999999998,0.005,-0.021,16.5,"43.6",9.546106067999526,-5.754781078643095,35.49251972261572,0.5121951219512195,34.9073552793876,29.167908120187757
256,607043,"Nimmo, Brandon",256,100,0.22,0.1,0.286,0.32,0.259,0.236,0.196,11,50,89.3,2.6,2606,80.4,80.28,25,93,163,-0.10000000000000853,6.41,119,147,113,151,295,325,304,"-0.088","0.088","70.4","7.7",53,36,8,2,0,1,14,26.4,2,3.8,4.34875,-0.77969,-0.80902,0.50949,"93.3",102,38.88888888888889,11.11111111111111,7.547169811320755,5.91,-0.99,-0.02,1.86,0.264,4,"0.034375",0.241,0.291,"-0.034375",0.024,0.02300000000000002,0.029,0.023,26.9,"40.1",11.276316965986968,-8.668813079638504,30.817605176787673,0.6847826086956522,40.35842367080881,32.9304197001228
254,682829,"De La Cruz, Elly",254,100,0.241,0.167,0.344,0.407,0.304,0.274,0.213,13,54,87.7,7.7,2594,79.6,79.57,24,87,167,0,6.37,113,147,120,149,297,325,301,"0.291","-0.291","69.9","7.3",58,34,9,1,1,2,20,34.5,3,5.2,4.54094,-0.90256,-0.73492,0.73492,"91.6",126,35.294117647058826,11.76470588235294,6.896551724137931,6,-0.83,-0.11,1.89,0.293,4,"-0.114566929",0.267,0.357,"0.114566929",0.028,0.025999999999999968,0.05,0.03,27.6,"44.3",10.9072620095067,-6.794102026082352,35.29660878222739,0.5348837209302325,37.33127141330656,41.842786898497074
