"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
287,677951,"Witt Jr., Bobby",287,100,0.348,0.232,0.333,0.58,0.407,0.4,0.308,24,69,92,18.3,2465,89.4,89.77,33,149,138,0.3999999999999915,6.37,106,150,121,145,308,326,298,"-2.932","2.932","73.7","7.1",77,66,15,5,1,3,5,6.5,6,7.8,2.23296,0.61301,-0.22611,-0.16365,"92.7",169,46.96969696969697,12.121212121212121,10.38961038961039,5.84,-1.19,0.55,2.41,0.39,8,"1.021602787",0.363,0.551,"-1.021602787",0.04,0.027000000000000024,0.029,0.007,22.1,"39.1",5.289813629128316,0.6665388642217168,26.82303985995858,0.5673758865248227,37.65829896714139,27.360732459544383
283,608070,"Ramírez, José",283,100,0.273,0.182,0.293,0.455,0.337,0.303,0.255,15,55,89,16.8,2411,90.2,90.79,22,137,146,0.5999999999999943,6.47,109,145,122,148,296,321,296,"-0.663","0.663","68.8","6.9",61,44,11,1,0,3,12,19.7,5,8.2,2.14597,0.64498,-0.1448,0.1448,"92.8",141,43.18181818181818,2.272727272727273,1.639344262295082,5.73,-0.83,-0.01,2.65,0.328,1,"0.234275618",0.314,0.38,"-0.234275618",0.018,0.014000000000000012,0.075,0.034,16.1,"36.8",7.715422281490397,-5.410023821139463,28.980891890390563,0.5572519083969466,28.41628876038473,29.691226046668874
277,650490,"Díaz, Yandy",277,100,0.183,0.033,0.208,0.217,0.235,0.268,0.22,11,60,88.8,3.7,2421,89.3,89.68,17,121,156,0.4000000000000057,6.34,108,149,125,146,305,322,285,"6.753","-6.753","72.3","7.5",68,53,9,2,0,0,7,10.3,7,10.3,2.19556,0.65245,-0.18953,-0.11707,"91.4",149,37.735849056603776,0,0,5.9,-0.62,0.19,2.51,0.279,0,"-2.437906137",0.312,0.267,"2.437906137",-0.037,-0.032999999999999974,-0.05,-0.033,14,"40.3",0.7875655647153054,11.529865240998221,23.71186017133379,0.2809917355371901,39.2142121758519,27.196742566315805
269,621493,"Ward, Taylor",269,100,0.218,0.036,0.255,0.255,0.235,0.279,0.25,12,55,87.4,21.5,2416,90,90.21,18,104,165,0.20000000000000284,6.37,106,151,122,146,306,326,296,"6.157","-6.157","68.8","6.9",60,47,10,2,0,0,9,15,4,6.7,2.1577,0.65959,-0.19083,-0.13053,"91.2",172,27.659574468085108,0,0,5.88,-1,0.33,2.46,0.267,0,"-2.288847584",0.297,0.325,"2.288847584",-0.032,-0.02999999999999997,-0.07,-0.044,17.3,"39.0",6.2139397182125595,0.3552842704411633,31.907516200600863,0.55,36.21769148854454,31.224122773808983
258,592885,"Yelich, Christian",258,100,0.263,0.175,0.255,0.439,0.363,0.378,0.278,15,57,88.3,6.2,2434,90.5,90.78,30,120,138,0.29999999999999716,6.34,115,146,116,151,296,320,301,"0.387","-0.387","71.4","7.2",68,50,11,1,0,3,7,10.3,11,16.2,2.075,0.70752,-0.16328,0.12905,"92.0",131,42,6,4.411764705882353,5.8,-1.38,0.19,2.7,0.382,3,"-0.15",0.395,0.463,"0.15",-0.015,-0.013000000000000012,-0.024,-0.015,25,"40.0",8.450700713230287,10.984854042442374,36.73883173945511,0.49166666666666664,34.304242188737724,24.494267261821218
253,665489,"Guerrero Jr., Vladimir",253,100,0.27,0.143,0.263,0.413,0.333,0.439,0.354,17,63,91.4,7.8,2452,90.1,90.38,23,119,134,0.30000000000001137,6.36,106,150,125,147,306,327,293,"-1.206","1.206","74.6","7.4",74,59,12,3,0,2,6,8.1,9,12.2,2.19012,0.62012,-0.22458,-0.12004,"94.4",154,49.152542372881356,11.864406779661017,9.45945945945946,5.86,-0.54,0.26,2.43,0.351,7,"0.476679842",0.433,0.587,"-0.476679842",-0.084,-0.08200000000000002,-0.174,-0.106,19.3,"39.4",-0.9619462427194865,1.3136183103851873,26.800323901338093,0.21551724137931033,38.88112251845224,30.872721345507237
250,650402,"Torres, Gleyber",250,100,0.38,0.14,0.415,0.52,0.443,0.388,0.293,19,50,84,11.7,2384,88.7,89.08,15,96,154,0.3999999999999915,6.37,110,152,123,147,303,327,293,"-7.225","7.225","69.9","7.2",61,43,16,1,0,2,7,11.5,11,18,2.26656,0.62264,-0.22767,-0.1361,"91.7",168,32.55813953488372,4.651162790697675,3.278688524590164,5.78,-0.75,0.41,2.47,0.492,2,"2.89",0.42,0.452,"-2.89",0.087,0.07200000000000001,0.068,0.055,15.6,"38.8",9.361318832681578,4.312513084720307,33.59927378001474,0.5434782608695652,37.052455235641276,30.478452808825036
245,677594,"Rodríguez, Julio",245,100,0.115,0.192,0.088,0.308,0.204,0.257,0.186,6,52,87.5,15.4,2420,90.3,90.62,38,136,109,0.29999999999999716,6.38,106,149,121,145,305,324,294,"6.452","-6.452","75.5","7.5",55,37,2,1,0,3,15,27.3,3,5.5,2.13204,0.66721,-0.18942,-0.11851,"90.9",177,40.54054054054054,8.108108108108109,5.454545454545454,5.88,-0.92,0.28,2.29,0.164,3,"-2.633469388",0.23,0.364,"2.633469388",-0.071,-0.066,-0.056,-0.053,27.9,"40.1",3.845696928320163,5.4001947713214955,30.627343998113204,0.43283582089552236,40.21341854318532,28.52987672422915
238,650859,"Rengifo, Luis",238,100,0.241,0.019,0.325,0.259,0.245,0.251,0.24,13,54,83.7,11.1,2393,89.7,90.02,39,133,105,0.29999999999999716,6.39,114,148,111,151,290,321,299,"5.71","-5.71","68.2","6.9",57,40,12,1,0,0,14,24.6,2,3.5,2.13441,0.70042,-0.16188,0.16188,"90.0",126,17.94871794871795,0,0,5.77,-1.23,0.08,2.49,0.281,0,"-2.399159664",0.28,0.277,"2.399159664",0.001,0.0010000000000000009,-0.018,-0.006,29.3,"37.0",5.355131342457247,8.352812415487751,33.64506611558173,0.44881889763779526,31.438400719420095,23.20438890193991
236,641355,"Bellinger, Cody",236,100,0.271,0.375,0.229,0.646,0.427,0.344,0.218,13,48,88.4,23.6,2432,90,90.34,25,110,126,0.29999999999999716,6.38,113,145,121,151,294,325,295,"-3.862","3.862","69.0","7.7",56,40,5,3,0,5,8,14.3,8,14.3,2.11335,0.69682,-0.16379,0.10506,"91.8",155,40,12.5,8.928571428571429,5.77,-1.24,-0.04,2.53,0.375,5,"1.636440678",0.33,0.462,"-1.636440678",0.053,0.044999999999999984,0.184,0.083,22.7,"38.6",13.620511825051338,-4.02800966866417,32.69481117331748,0.5596330275229358,28.733036548294656,30.370354119772987
