"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
149,686469,"Pasquantino, Vinnie",149,100,0.225,0.075,0.273,0.3,0.238,0.216,0.199,9,40,89.6,10.2,1386,87.1,87.51,23,83,66,0.4000000000000057,6.49,119,143,123,149,299,328,306,"2.953","-2.953","73.3","8.0",41,33,6,3,0,0,7,17.1,1,2.4,2.69362,0.31878,0.96365,-0.96365,"92.6",123,36.36363636363637,3.0303030303030303,2.4390243902439024,5.75,-1.92,-0.29,1.72,0.244,1,"-1.981879195",0.219,0.275,"1.981879195",0.026,0.024999999999999994,0.025,0.022,27.7,"39.0",14.077612033829855,-16.247028588299862,30.348717801310926,0.6363636363636364,43.49493669380871,37.66031953776194
145,682829,"De La Cruz, Elly",145,100,0.103,0,0.167,0.103,0.164,0.258,0.167,3,29,85.8,8.4,1305,86,86.36,29,73,72,0.4000000000000057,6.5,112,146,121,149,295,324,300,"2.923","-2.923","72.8","7.7",33,18,3,0,0,0,11,33.3,4,12.1,2.83407,0.25407,0.85951,-0.85951,"90.8",112,33.33333333333333,11.11111111111111,6.0606060606060606,5.73,-0.99,-0.29,1.77,0.212,2,"-2.015862069",0.268,0.302,"2.015862069",-0.064,-0.05600000000000002,-0.199,-0.094,39.7,"38.4",13.759325995371729,-6.871325621031584,34.336878254376806,0.5416666666666666,42.440270896576095,43.30948893211879
144,671732,"Butler, Lawrence",144,100,0.286,0.036,0.421,0.321,0.294,0.329,0.318,8,28,86.9,19.5,1403,86.1,86.43,31,66,78,0.30000000000001137,6.58,115,147,114,151,294,328,303,"-0.819","0.819","72.8","7.7",30,19,7,1,0,0,9,30,2,6.7,2.91396,0.18431,0.86618,-0.86618,"92.3",144,42.10526315789473,0,0,5.72,-2.06,-0.24,1.79,0.333,0,"0.56875",0.364,0.373,"-0.56875",-0.032,-0.030999999999999972,-0.052,-0.035,47,"38.4",11.961566504616012,-10.091219791157137,32.834000304653756,0.49230769230769234,41.19036818956874,35.62920330553555
144,665742,"Soto, Juan",144,100,0.269,0.154,0.3,0.423,0.36,0.477,0.353,7,26,95.4,6.2,1438,87.1,87.35,12,46,98,0.20000000000000284,6.52,113,146,123,151,298,327,305,"-4.019","4.019","66.8","7.2",31,21,5,1,0,1,5,16.1,5,16.1,2.75167,0.27444,1.00549,-0.93951,"94.5",148,57.14285714285714,19.047619047619047,12.903225806451612,5.8,-1.58,-0.29,1.77,0.387,4,"2.790972222",0.457,0.681,"-2.790972222",-0.084,-0.07,-0.258,-0.117,26.1,"38.9",12.47022104078588,2.220089801268538,27.558943878836615,0.7045454545454546,40.40537137156832,24.753325042755357
141,608070,"Ramírez, José",141,100,0.361,0.139,0.429,0.5,0.371,0.272,0.275,13,36,77.4,0.2,1309,86.9,87.48,19,71,70,0.5999999999999943,6.6,118,146,127,152,294,321,296,"-4.049","4.049","66.3","7.5",36,29,10,2,0,1,7,19.4,0,0,2.75085,0.27461,0.91532,-0.91532,"90.7",138,13.793103448275861,3.4482758620689653,2.7777777777777777,5.7,-1.63,-0.42,1.72,0.361,1,"2.871631206",0.275,0.35,"-2.871631206",0.086,0.08599999999999997,0.15,0.099,26.8,"39.1",11.6534225153038,-14.226551786574337,31.233016267240554,0.6142857142857143,35.07269229347932,35.4811912359986
141,664040,"Lowe, Brandon",141,100,0.212,0,0.333,0.212,0.242,0.269,0.232,7,33,85.5,4.3,1451,86.5,86.83,33,79,62,0.29999999999999716,6.4,117,146,120,150,291,321,295,"0.465","-0.465","71.7","7.6",37,21,7,0,0,0,12,32.4,4,10.8,2.72582,0.33057,1.01809,-1.01809,"90.9",103,23.809523809523807,0,0,5.84,-1.8,-0.5,1.93,0.297,0,"-0.329787234",0.315,0.273,"0.329787234",-0.02,-0.018000000000000016,-0.061,-0.027,41.8,"38.6",18.82194935466575,-8.833975800722351,33.28451641499483,0.38961038961038963,39.96760177374129,38.4229869589263
135,663728,"Raleigh, Cal",135,100,0.31,0.345,0.3,0.655,0.455,0.383,0.257,9,29,87,12.5,1322,86.2,86.67,18,66,69,0.5,6.54,117,146,132,151,296,327,300,"-5.012","5.012","70.8","8.4",35,23,5,1,0,3,6,17.1,6,17.1,2.728,0.35284,0.85815,-0.85815,"92.1",169,39.130434782608695,21.73913043478261,14.285714285714285,5.88,-1.65,-0.3,1.75,0.429,5,"3.712592593",0.385,0.497,"-3.712592593",0.053,0.043999999999999984,0.158,0.072,27.3,"42.3",22.604025110260693,-15.49661214163193,36.22814967609906,0.24615384615384617,37.56786941618274,40.951155283123455
134,645277,"Albies, Ozzie",134,100,0.242,0.091,0.25,0.333,0.262,0.291,0.287,8,33,86.6,13.3,1303,86.6,87.12,13,64,70,0.5,6.6,115,147,120,151,296,323,297,"1.05","-1.05","64.6","7.5",34,29,7,0,0,1,4,11.8,1,2.9,2.71194,0.34173,0.92739,-0.92739,"90.9",126,24.137931034482758,0,0,5.87,-1.15,-0.35,1.83,0.265,0,"-0.78358209",0.308,0.361,"0.78358209",-0.045,-0.04299999999999998,-0.028,-0.029,20.3,"40.9",15.877285922423413,-10.434673126743297,35.736031212970616,0.5084745762711864,33.14293359884407,40.79092712182622
134,680776,"Duran, Jarren",134,100,0.351,0.432,0.391,0.784,0.485,0.35,0.26,13,37,91.4,2.3,1385,86.2,86.63,27,67,67,0.3999999999999915,6.58,115,146,109,151,281,321,306,"-7.221","7.221","73.6","8.1",39,27,6,2,1,4,10,25.6,2,5.1,2.8694,0.22636,0.98112,-0.98112,"94.4",131,44.44444444444444,14.814814814814813,10.256410256410255,5.69,-1.93,-0.29,1.75,0.385,4,"5.38880597",0.298,0.527,"-5.38880597",0.091,0.08700000000000002,0.257,0.135,40.3,"38.2",10.101167065484283,-9.023150222507237,27.887583010711698,0.640625,42.95705821110302,38.25907515963716
131,596019,"Lindor, Francisco",131,100,0.29,0.161,0.348,0.452,0.329,0.309,0.263,9,31,88.4,8.1,1356,86,86.42,15,65,66,0.4000000000000057,6.57,117,147,117,151,296,324,301,"-1.399","1.399","69.8","7.7",32,24,6,2,0,1,7,21.9,1,3.1,2.75015,0.35828,0.94511,-0.94511,"91.7",118,33.33333333333333,8.333333333333332,6.25,5.77,-1.14,-0.08,1.82,0.313,2,"1.067938931",0.286,0.429,"-1.067938931",0.027,0.027000000000000024,0.023,0.02,23.1,"41.4",13.058218131205068,-7.924972408213537,34.87122486809548,0.47540983606557374,37.11877831502776,32.97350313862629
