"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
617,650490,"Díaz, Yandy",617,100,0.308,0.15,0.302,0.459,0.364,0.374,0.299,41,133,91.5,-2.3,2199,94.1,94.24,36,247,370,0.10000000000000853,6.4,108,149,123,147,304,321,286,"-1.897","1.897","70.4","7.3",151,122,33,2,0,6,13,8.6,14,9.3,1.94109,0.64109,1.25647,0.81663,"93.9",149,50,8.333333333333332,6.622516556291391,5.63,-1.14,-0.23,2.37,0.377,10,"0.307455429",0.377,0.469,"-0.307455429",0.009,0,-0.01,-0.01,14.6,"34.1",-1.2083771522625253,16.508126105161523,25.606914580855307,0.16182572614107885,33.98470763606968,23.702837655803332
602,665742,"Soto, Juan",602,100,0.246,0.175,0.258,0.421,0.354,0.377,0.259,28,114,90.8,7.9,2172,93.6,93.65,34,226,376,0,6.44,115,146,122,151,299,329,306,"-3.888","3.888","71.8","6.8",140,94,19,3,1,5,21,15,25,17.9,2.01939,0.6026,1.30078,0.00796,"93.1",152,44.086021505376344,11.827956989247312,7.857142857142857,5.62,0.16,0,2.3,0.379,11,"0.645847176",0.39,0.472,"-0.645847176",-0.013,-0.01100000000000001,-0.051,-0.023,15,"31.8",7.4633034657020625,9.708072337212352,28.851780199825583,0.6045454545454545,37.28066078449327,19.123466129286097
587,624413,"Alonso, Pete",587,100,0.348,0.215,0.357,0.563,0.421,0.425,0.335,47,135,90.5,12.1,2200,94,94.19,38,259,328,0.20000000000000284,6.5,107,148,122,144,305,327,297,"-10.185","10.185","75.0","6.7",153,121,30,11,0,6,15,9.8,12,7.8,1.9283,0.66816,1.27458,0.86324,"93.9",160,45.45454545454545,17.355371900826448,13.725490196078432,5.66,-1.22,-0.26,2.39,0.418,21,"1.735093697",0.407,0.588,"-1.735093697",0.013,0.01100000000000001,-0.025,-0.004,14.7,"34.1",5.155482926178584,9.554445347171807,34.91623509478142,0.5483870967741935,32.22237052439226,23.48945227691787
549,691406,"Caminero, Junior",549,100,0.294,0.243,0.292,0.537,0.38,0.351,0.274,40,136,94.8,3.8,2197,94,94.18,35,255,294,0.20000000000000284,6.38,106,150,123,146,302,324,290,"-2.135","2.135","77.6","8.0",148,115,25,6,0,9,21,14.2,10,6.8,1.90381,0.68142,1.26277,0.722,"94.5",126,59.130434782608695,10.434782608695652,8.108108108108109,5.69,-0.96,-0.1,2.43,0.351,12,"0.388888889",0.333,0.479,"-0.388888889",0.02,0.01799999999999996,0.058,0.029,13.7,"34.3",2.745916700643068,5.610756068212098,27.034369878318323,0.39271255060728744,34.75365302670642,27.506508894603808
544,668227,"Arozarena, Randy",544,100,0.297,0.126,0.341,0.423,0.383,0.355,0.251,33,111,91.6,8.7,2213,93.9,93.94,51,225,319,0,6.4,108,151,121,147,301,324,293,"-3.467","3.467","71.3","7.1",136,91,25,5,0,3,20,14.7,14,10.3,1.95165,0.65473,1.25097,0.88303,"93.4",147,48.35164835164835,7.6923076923076925,5.147058823529411,5.6,-1.43,-0.18,2.36,0.426,7,"0.637316176",0.39,0.394,"-0.637316176",0.046,0.035999999999999976,0.029,0.028,22.7,"33.4",4.811355853280907,10.473341284875792,26.77759205557405,0.45754716981132076,31.516098335908104,25.44799724013055
520,679529,"Torkelson, Spencer",520,100,0.271,0.195,0.286,0.466,0.369,0.383,0.276,32,118,90.4,14.2,2171,93.5,93.58,27,218,302,0.09999999999999432,6.4,107,151,123,146,302,328,296,"-3.824","3.824","72.9","7.4",140,97,21,5,0,6,22,15.7,17,12.1,1.97619,0.64977,1.23856,0.7106,"93.1",147,43.29896907216495,12.371134020618557,8.571428571428571,5.58,-1.19,-0.09,2.37,0.379,12,"0.735384615",0.383,0.501,"-0.735384615",-0.005,-0.0040000000000000036,-0.035,-0.014,12.4,"33.1",7.915446881839543,0.5865773284321302,40.51210960895696,0.4716981132075472,34.46064607878307,24.53856371689217
519,621043,"Correa, Carlos",519,100,0.277,0.128,0.301,0.405,0.319,0.34,0.289,41,148,91.2,2.4,2203,94.5,94.57,30,243,276,0.09999999999999432,6.44,106,150,122,146,301,325,292,"5.313","-5.313","72.7","6.7",160,127,30,7,0,4,22,13.8,10,6.3,1.85274,0.71728,1.24464,0.89216,"93.4",125,50.39370078740157,7.874015748031496,6.25,5.71,-1.27,-0.06,2.38,0.325,10,"-1.023699422",0.339,0.438,"1.023699422",-0.012,-0.014000000000000012,-0.033,-0.021,12.3,"35.2",1.150341440329911,6.9042776657188805,34.617654808306405,0.3090128755364807,34.40081664312354,22.721892671532316
515,665487,"Tatis Jr., Fernando",515,100,0.358,0.154,0.39,0.512,0.424,0.394,0.318,44,123,92.5,-1.5,2204,94.3,94.29,27,218,297,0,6.44,109,151,122,147,305,326,295,"-13.212","13.212","70.5","6.7",148,108,32,8,1,3,16,10.8,19,12.8,1.97942,0.60522,1.31946,1.09996,"94.0",125,49.056603773584904,8.49056603773585,6.081081081081082,5.61,-1.69,-0.21,2.39,0.459,9,"2.565436893",0.429,0.465,"-2.565436893",0.04,0.030000000000000027,0.047,0.03,12.4,"31.8",1.4052246503063603,10.941493836716443,31.269998970666833,0.4146341463414634,34.223254196017145,23.131875413274066
515,805779,"Wilson, Jacob",515,100,0.291,0.101,0.299,0.392,0.315,0.264,0.248,46,158,85.5,-0.7,2224,94,94.02,10,248,267,0,6.44,107,150,116,147,298,317,281,"4.764","-4.764","62.6","5.7",167,150,34,10,0,2,9,5.4,5,3,1.93751,0.66589,1.26064,0.84569,"91.5",106,35.13513513513514,1.3513513513513513,1.1976047904191618,5.64,-1.36,-0.19,2.38,0.325,2,"-0.925048544",0.285,0.309,"0.925048544",0.043,0.040000000000000036,0.083,0.051,4,"33.0",-3.018371207040227,6.226036872273215,36.78603774030939,0.22869955156950672,30.965113346795405,26.17836789377418
511,542303,"Ozuna, Marcell",511,100,0.33,0.138,0.41,0.468,0.4,0.372,0.282,36,109,91.1,6.5,2204,94.3,94.53,26,195,316,0.20000000000000284,6.46,107,151,124,147,309,328,296,"-3.127","3.127","70.2","6.8",133,82,29,3,0,4,28,21.1,20,15,1.9155,0.6598,1.22853,0.8811,"92.6",152,50,7.317073170731707,4.511278195488721,5.74,-1.26,0.01,2.32,0.439,6,"0.611937378",0.401,0.434,"-0.611937378",0.048,0.03799999999999998,0.034,0.028,13.3,"33.5",7.16279315237149,8.190653689508755,37.98966747952258,0.5668449197860963,33.107123364276354,25.058464153169027
