"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
570,656941,"Schwarber, Kyle",570,100,0.167,0.216,0.179,0.382,0.286,0.293,0.195,17,102,91.8,19.9,2426,86.1,86.31,103,223,347,0.20000000000000284,6.42,116,146,129,151,299,327,296,"0.552","-0.552","73.3","7.8",116,63,9,1,0,7,39,33.6,12,10.3,2.92718,0.16301,-0.33479,-0.02701,"95.1",154,58.730158730158735,9.523809523809524,5.172413793103448,5.81,0.15,-0.23,1.81,0.267,6,"-0.096842105",0.292,0.369,"0.096842105",-0.028,-0.024999999999999967,0.013,-0.007,46.2,"37.6",17.887080134391805,-13.607097292674542,30.792998808239513,0.5495495495495496,34.99697649658208,38.50276840490842
554,621493,"Ward, Taylor",554,100,0.202,0.298,0.194,0.5,0.33,0.292,0.195,21,104,89,15.5,2434,86,86.2,67,204,350,0.20000000000000284,6.42,107,150,122,145,306,325,295,"-8.544","8.544","66.5","7.5",117,71,9,2,1,9,34,29.1,12,10.3,2.94755,0.14751,-0.42519,-0.31343,"91.9",153,33.80281690140845,11.267605633802818,6.837606837606838,5.81,-1.3,0.49,1.93,0.282,8,"1.542238267",0.277,0.39,"-1.542238267",0.007,0.004999999999999949,0.11,0.038,32.8,"38.2",12.2923553616218,-8.302746395883974,32.09209745484183,0.5833333333333334,38.49264842598016,37.49165707714789
551,621020,"Swanson, Dansby",551,100,0.231,0.154,0.278,0.385,0.296,0.279,0.217,24,104,84.3,11.9,2453,86.3,86.58,91,253,298,0.29999999999999716,6.39,108,150,119,146,302,322,293,"0.059","-0.059","67.6","7.7",113,76,16,4,0,4,28,24.8,9,8,2.89535,0.18703,-0.39441,-0.32969,"90.9",116,32.89473684210527,9.210526315789473,6.1946902654867255,5.81,-1.56,0.48,1.97,0.292,7,"-0.010707804",0.279,0.353,"0.010707804",0.014,0.012999999999999956,0.032,0.017,36,"38.2",17.531926844154523,-9.112104847238351,35.02308292607435,0.428,38.82845930869834,37.1899677837404
523,673548,"Suzuki, Seiya",523,100,0.202,0.132,0.276,0.333,0.26,0.225,0.166,23,114,86.3,21.4,2461,86.1,86.34,75,212,311,0.20000000000000284,6.4,108,151,123,147,302,324,295,"4.065","-4.065","69.2","7.6",126,78,13,7,1,2,38,30.2,10,7.9,2.92289,0.16057,-0.38803,-0.25683,"91.3",176,30.76923076923077,5.128205128205128,3.1746031746031744,5.84,-1.16,0.33,1.89,0.262,4,"-0.777246654",0.233,0.264,"0.777246654",0.036,0.028999999999999998,0.069,0.035,35.4,"38.5",12.757482650755751,-12.164817531502727,31.329198187561232,0.5666666666666667,39.154962585561165,40.49453138496043
506,592450,"Judge, Aaron",506,100,0.271,0.167,0.355,0.438,0.349,0.342,0.24,26,96,93.8,20.3,2439,86.7,86.99,97,222,284,0.29999999999999716,6.41,107,152,124,145,306,331,296,"-2.981","2.981","74.2","8.4",113,66,18,4,0,4,32,28.3,15,13.3,2.91933,0.11538,-0.38226,-0.30633,"94.0",146,51.515151515151516,12.121212121212121,7.079646017699115,5.84,-1.33,0.41,1.94,0.363,8,"0.589130435",0.338,0.448,"-0.589130435",0.031,0.024999999999999967,-0.01,0.007,43.7,"40.1",18.334849103835428,-11.490270460314624,38.28674724731882,0.4748858447488584,44.25117046562903,34.89758967846038
502,680574,"McLain, Matt",502,100,0.195,0.11,0.279,0.305,0.234,0.227,0.192,23,118,86.4,22,2447,86.2,86.46,90,226,276,0.29999999999999716,6.39,105,150,115,146,300,320,289,"4.172","-4.172","66.6","7.2",123,72,18,1,0,4,46,37.4,4,3.3,2.92904,0.14398,-0.3499,-0.20507,"90.7",153,33.33333333333333,6.944444444444445,4.0650406504065035,5.89,-1.08,0.33,1.92,0.228,5,"-0.831075697",0.225,0.291,"0.831075697",0.003,0.0030000000000000027,0.014,0.007,39.8,"40.4",14.826212836992378,-6.546491705028678,32.253147402071235,0.514018691588785,38.656069482004895,37.10244502000867
475,553993,"Suárez, Eugenio",475,100,0.221,0.434,0.193,0.655,0.38,0.31,0.2,25,113,89.5,24.3,2474,86.5,86.73,109,258,217,0.20000000000000284,6.36,108,152,123,146,302,325,296,"-11.827","11.827","69.3","8.1",124,71,4,7,0,14,44,35.5,8,6.5,2.88985,0.16588,-0.34785,-0.09991,"92.8",156,43.66197183098591,18.30985915492958,10.483870967741936,5.76,-0.65,0.37,1.79,0.274,13,"2.489894737",0.256,0.476,"-2.489894737",0.021,0.018000000000000016,0.179,0.07,42.2,"38.3",22.527737262482823,-13.23696651975297,39.55807277407753,0.2559055118110236,34.04484673598618,41.330210069473864
473,665742,"Soto, Juan",473,100,0.245,0.176,0.317,0.422,0.333,0.308,0.22,25,102,90.6,5.3,2430,86.2,86.36,57,167,306,0.20000000000000284,6.4,116,147,124,151,300,329,306,"-6.644","6.644","69.4","7.1",117,69,17,3,0,5,34,29.1,14,12,2.90641,0.17505,-0.30128,0.0194,"93.2",129,44.927536231884055,10.144927536231885,5.982905982905983,5.84,0.26,-0.19,1.87,0.336,7,"1.404651163",0.314,0.383,"-1.404651163",0.025,0.02200000000000002,0.039,0.025,34.1,"39.2",12.215300556870702,0.2619495354328032,27.895893545667906,0.5822784810126582,40.225953892126824,25.923947369656393
471,661388,"Contreras, William",471,100,0.231,0.12,0.261,0.35,0.305,0.292,0.225,27,117,85.9,4.7,2437,86.2,86.55,79,242,229,0.3999999999999915,6.47,106,150,122,147,304,320,291,"-1.351","1.351","69.8","7.4",134,95,19,5,0,3,22,16.4,16,11.9,2.91503,0.16023,-0.37243,-0.18404,"92.2",117,35.78947368421053,3.1578947368421053,2.2388059701492535,5.78,-1,0.38,1.94,0.328,3,"0.286836518",0.323,0.318,"-0.286836518",0.006,0.0050000000000000044,0.032,0.013,32.6,"39.0",13.98627394347066,-2.1848094084781153,29.02354409802374,0.6458333333333334,39.78899307438219,34.700746504862266
456,621566,"Olson, Matt",456,100,0.22,0.165,0.315,0.385,0.283,0.294,0.218,20,91,94,19.3,2384,86.5,86.75,67,206,250,0.29999999999999716,6.42,117,147,130,152,301,328,304,"-0.401","0.401","72.2","7.9",97,57,11,6,0,3,34,35.1,6,6.2,2.89138,0.16514,-0.31781,0.09785,"93.3",136,52.63157894736842,17.543859649122805,10.309278350515463,5.87,-0.29,-0.1,2.01,0.268,10,"0.087938596",0.267,0.413,"-0.087938596",0.002,0.0010000000000000009,-0.028,-0.011,32.5,"39.0",13.378210264880355,-7.120108184778115,34.804733697513136,0.5714285714285714,37.57304599640929,37.82474079720344
