"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
345,680757,"Kwan, Steven",345,100,0.246,0.046,0.296,0.292,0.273,0.331,0.315,16,65,84.6,8.1,2231,90.1,90.34,16,146,199,0.20000000000000284,6.49,115,147,102,151,279,314,298,"5.873","-5.873","59.4","6.1",71,54,13,3,0,0,11,15.5,6,8.5,2.17957,0.67032,0.59951,-0.3329,"88.7",170,5.555555555555555,0,0,5.68,-0.87,-0.8,2.33,0.31,0,"-1.702318841",0.373,0.365,"1.702318841",-0.069,-0.063,-0.073,-0.058,11,"36.0",-4.941488691971595,11.060011868045642,33.63197098890328,0.18045112781954886,40.01422523408851,22.620080432809957
342,656941,"Schwarber, Kyle",342,100,0.22,0.198,0.225,0.418,0.292,0.345,0.246,20,91,91.7,19.1,2234,88.9,88.93,43,175,167,0,6.38,116,145,127,151,298,327,296,"7.177","-7.177","74.5","7.5",98,75,10,6,0,4,17,17.3,6,6.1,2.40298,0.53892,0.37208,-0.27777,"92.8",179,50.66666666666667,17.333333333333336,13.26530612244898,5.84,-0.23,-0.79,2.4,0.265,13,"-2.098538012",0.295,0.5,"2.098538012",-0.026,-0.02999999999999997,-0.082,-0.053,24.6,"36.9",13.99443617577315,2.2822873408675814,28.594039916047368,0.6589595375722543,42.63032306958008,30.412170182638988
308,641355,"Bellinger, Cody",308,100,0.281,0.135,0.277,0.416,0.308,0.343,0.295,25,89,89.3,15.1,2227,90.1,90.17,21,180,128,0.10000000000000853,6.42,112,146,121,152,293,325,296,"6.276","-6.276","68.9","7.6",93,85,17,6,0,2,5,5.4,3,3.2,2.17912,0.68023,0.48932,-0.30391,"91.1",185,40,9.411764705882353,8.60215053763441,5.78,-0.8,-0.8,2.74,0.301,8,"-2.037662338",0.322,0.468,"2.037662338",-0.014,-0.02100000000000002,-0.052,-0.035,11.7,"37.9",8.739747234606932,5.72290293452892,29.167335145702083,0.5875706214689266,38.806545684885094,24.938972368556673
306,663457,"Nootbaar, Lars",306,100,0.143,0.089,0.179,0.232,0.223,0.269,0.179,8,56,85.4,9.6,2257,89.8,90.01,25,125,181,0.20000000000000284,6.46,117,147,112,151,295,322,303,"7.038","-7.038","69.1","6.8",65,40,5,2,0,1,17,26.2,8,12.3,2.23477,0.64152,0.45758,-0.40778,"90.3",156,37.5,10,6.153846153846154,5.75,-0.87,-0.8,2.52,0.246,4,"-2.3",0.282,0.309,"2.3",-0.036,-0.035999999999999976,-0.077,-0.046,20,"36.5",5.2561890161336,3.2555540482377543,25.62868120077722,0.48760330578512395,45.27853161173879,30.7947828901745
303,646240,"Devers, Rafael",303,100,0.156,0.078,0.229,0.234,0.197,0.257,0.209,12,77,92,0.1,2215,90.7,90.89,54,166,137,0.20000000000000284,6.4,116,147,130,152,294,326,308,"10.475","-10.475","69.1","7.5",83,49,8,3,0,1,29,34.9,5,6,2.05377,0.7568,0.56887,-0.34649,"92.1",170,53.06122448979592,8.16326530612245,4.819277108433735,5.8,-0.77,-0.8,2.54,0.205,4,"-3.45709571",0.255,0.33,"3.45709571",-0.053,-0.05000000000000002,-0.096,-0.06,32.5,"37.1",6.827881769267998,13.600830096075303,24.961788985917444,0.5304878048780488,43.20208579432901,22.90031018084089
300,681082,"Stott, Bryson",300,100,0.179,0,0.294,0.179,0.201,0.191,0.155,10,56,82.6,3.4,2255,91.2,91.31,22,115,185,0.09999999999999432,6.44,116,146,110,151,287,319,297,"6.905","-6.905","66.6","7.0",61,34,10,0,0,0,22,36.1,5,8.2,1.99023,0.7935,0.56067,-0.4754,"88.7",172,8.823529411764707,0,0,5.84,-1.12,-0.81,2.49,0.246,0,"-2.301666667",0.225,0.179,"2.301666667",0.024,0.02099999999999999,0,0.01,19.1,"37.7",3.1567538812762073,15.890086613689354,29.818898851125976,0.41228070175438597,41.39254900556748,19.72045467940433
297,664023,"Happ, Ian",297,100,0.148,0.111,0.179,0.259,0.236,0.289,0.225,8,54,89.7,12.6,2263,90.5,90.69,18,115,182,0.20000000000000284,6.41,115,147,116,150,295,322,300,"7.677","-7.677","69.2","6.6",63,40,4,3,0,1,15,23.8,8,12.7,2.10953,0.71731,0.50685,-0.50732,"91.3",179,40,2.5,1.5873015873015872,5.74,-1.28,-0.8,2.59,0.254,1,"-2.584848485",0.324,0.306,"2.584848485",-0.077,-0.07,-0.047,-0.053,15.7,"35.6",5.877196493225748,4.003415723440052,30.46172057840878,0.3125,40.817972455542375,28.43242444577324
292,695578,"Wood, James",292,100,0.167,0.021,0.276,0.188,0.223,0.237,0.176,8,48,82.6,-4.6,2277,89,89.14,23,80,212,0.09999999999999432,6.35,116,147,127,150,300,326,305,"3.79","-3.79","72.6","7.7",55,29,7,1,0,0,19,34.5,7,12.7,2.42229,0.50521,0.28445,-0.23596,"90.0",121,31.03448275862069,0,0,5.85,-0.85,-0.81,2.69,0.273,0,"-1.297945205",0.281,0.212,"1.297945205",-0.009,-0.008000000000000007,-0.024,-0.014,28.7,"37.1",10.97313573508017,6.0867911481041075,35.807013195486334,0.5333333333333333,47.45028338365705,29.505594943753827
290,621566,"Olson, Matt",290,100,0.148,0.019,0.258,0.167,0.217,0.228,0.145,8,54,85.1,5.8,2321,89.6,89.81,35,116,174,0.20000000000000284,6.4,116,147,130,152,302,328,304,"8.574","-8.574","70.0","7.4",63,31,7,1,0,0,23,36.5,9,14.3,2.33569,0.54526,0.38332,-0.2674,"90.1",182,22.58064516129032,3.225806451612903,1.5873015873015872,5.78,-0.84,-0.8,2.58,0.27,1,"-2.956551724",0.267,0.203,"2.956551724",0.003,0.0030000000000000027,-0.036,-0.011,30.2,"35.1",4.990529164768062,11.91350511222528,29.10138167288152,0.33035714285714285,48.089095235711355,26.07999403528433
283,670770,"Friedl, TJ",283,100,0.317,0.016,0.392,0.333,0.332,0.306,0.259,20,63,80.1,4.6,2245,89.2,89.32,17,112,171,0.09999999999999432,6.39,112,145,100,151,288,319,295,"1.444","-1.444","66.8","6.5",74,52,19,1,0,0,13,17.6,9,12.2,2.30647,0.60928,0.40929,-0.24163,"89.6",149,21.153846153846153,0,0,5.83,-0.84,-0.8,2.34,0.397,0,"-0.51024735",0.355,0.306,"0.51024735",0.058,0.04200000000000004,0.027,0.026,15.2,"37.3",5.5646470743394705,4.155811465067295,28.81615655389925,0.5462962962962963,41.7876896009586,34.87391425940145
