"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
1084,650911,"Sánchez, Cristopher",1084,100,0.17,0.072,0.289,0.243,0.199,0.202,0.183,52,305,84.4,2.6,2043,86.3,87.19,269,596,488,0.9000000000000057,7.04,105,149,117,146,300,320,286,"18.204","-18.204","70.7","8.0",318,175,34,16,0,2,130,40.9,9,2.8,3.17372,-0.09247,1.40941,-1.18054,"90.9",85,26.011560693641616,1.7341040462427744,0.9433962264150944,5.87,2.06,0.27,1.68,0.204,3,"-1.679335793",0.217,0.232,"1.679335793",-0.013,-0.013000000000000012,0.011,-0.003,45.1,"27.9",16.950223689604773,-14.565797478548868,33.46731405026305,0.5434412265758092,40.6339684992435,38.63684134495405
987,543294,"Hendricks, Kyle",987,100,0.223,0.141,0.244,0.364,0.263,0.269,0.229,63,283,83.3,16.8,2077,79.5,78.34,138,546,441,-1.2000000000000028,5.5,109,147,118,149,304,327,300,"6.179","-6.179","70.3","7.8",299,235,42,10,3,8,53,17.7,11,3.7,2.90124,0.71118,0.90576,-0.45363,"90.4",153,26.382978723404253,6.382978723404255,5.016722408026756,6.14,-2.61,-0.07,1.96,0.249,15,"-0.626038501",0.259,0.359,"0.626038501",-0.006,-0.010000000000000009,0.005,-0.006,25.3,"43.7",15.344597180145186,-10.2322800278127,32.034667222846295,0.5452830188679245,43.467923524122995,37.57453814285759
895,669373,"Skubal, Tarik",895,100,0.154,0.073,0.252,0.227,0.171,0.188,0.168,40,260,82.8,8.3,1837,88,88.11,252,538,357,0.09999999999999432,6.44,109,151,117,148,304,328,292,"25.359","-25.359","69.5","7.9",265,151,27,10,0,3,110,41.5,4,1.5,2.41042,0.54534,1.24749,-0.96183,"90.9",112,27.81456953642384,5.298013245033113,3.018867924528302,6.06,1.88,0.36,1.77,0.167,8,"-2.833407821",0.181,0.251,"2.833407821",-0.014,-0.013999999999999985,-0.024,-0.017,46.8,"46.3",17.481730457088506,-15.641815839690373,32.62181601251057,0.4896030245746692,41.29720210866897,39.24883368207875
886,592454,"Kahnle, Tommy",886,100,0.217,0.158,0.239,0.374,0.294,0.321,0.249,44,203,88.4,10.1,1282,86.7,87.34,106,401,485,0.5999999999999943,6.68,113,148,113,149,296,327,297,"3.781","-3.781","69.6","7.5",225,162,28,7,2,7,41,18.2,22,9.8,2.94129,0.09384,0.98042,-0.11421,"92.1",127,37.03703703703704,9.25925925925926,6.666666666666667,5.49,-2.27,-0.14,1.97,0.293,15,"-0.426749436",0.323,0.411,"0.426749436",-0.032,-0.030000000000000027,-0.037,-0.027,26.4,"30.9",11.931661176437094,-6.373217501837952,33.32069232213637,0.5989847715736041,38.07523408057617,33.4898005787482
795,542881,"Anderson, Tyler",795,100,0.22,0.168,0.264,0.387,0.296,0.3,0.224,42,191,85,15.9,1916,78.7,78,160,416,379,-0.7000000000000028,5.94,105,149,116,146,303,324,295,"-0.267","0.267","68.6","7.9",213,137,26,8,0,8,56,26.3,20,9.4,2.68387,1.01853,1.09586,-0.92074,"91.1",150,26.277372262773724,9.48905109489051,6.103286384976526,6.46,1.3,0.39,1.93,0.291,13,"0.033584906",0.297,0.386,"-0.033584906",-0.004,-0.006000000000000005,0.001,-0.004,38.5,"59.3",17.34724740443655,-15.508274192303064,31.83977152159194,0.48641975308641977,41.158306220392525,40.99018339477558
792,657277,"Webb, Logan",792,100,0.207,0.101,0.317,0.308,0.242,0.257,0.228,47,227,90.2,-2.4,1502,86.5,87.63,143,449,343,1.0999999999999943,6.84,110,148,119,147,293,324,298,"10.098","-10.098","71.7","7.7",238,146,28,16,2,1,81,34,10,4.2,3.49756,-0.46831,0.70643,-0.16087,"93.0",84,44.827586206896555,8.275862068965518,5.042016806722689,4.88,-2.02,-0.2,1.53,0.244,12,"-1.275",0.264,0.318,"1.275",-0.021,-0.020000000000000018,-0.01,-0.015,31.8,"19.3",12.444849401906742,-7.724426171725027,36.75500672909309,0.5402298850574713,37.007727048034134,34.12847722734815
753,518876,"Kelly, Merrill",753,100,0.198,0.123,0.257,0.321,0.256,0.277,0.227,42,212,88.1,3.4,2158,88.3,87.85,148,443,310,-0.3999999999999915,6.04,114,148,115,150,298,323,301,"6.424","-6.424","71.0","7.8",230,150,27,9,1,5,63,27.4,17,7.4,2.92183,0.00662,1.25902,-0.34186,"92.0",93,36.486486486486484,7.4324324324324325,4.782608695652174,5.51,-1.87,-0.37,1.53,0.258,11,"-0.85312085",0.285,0.34,"0.85312085",-0.029,-0.02699999999999997,-0.019,-0.021,33.4,"24.6",14.07310334406812,-8.688360056044358,35.70691916526836,0.5325581395348837,37.752417581379085,35.25776761685898
720,605488,"Springs, Jeffrey",720,100,0.218,0.162,0.247,0.38,0.273,0.262,0.221,47,216,81.5,14.8,1395,79.1,78.9,175,424,296,-0.19999999999998863,6.17,107,150,121,145,301,324,292,"-1.876","1.876","68.2","8.1",232,161,32,5,0,10,59,25.4,12,5.2,3.08462,0.56326,1.04507,-1.0194,"90.9",154,23.60248447204969,4.968944099378882,3.4482758620689653,6.27,2.38,0.78,1.88,0.255,8,"0.260555556",0.26,0.338,"-0.260555556",-0.003,-0.0050000000000000044,0.042,0.011,41.3,"45.2",17.869066882728998,-16.99237387128304,31.456575267923952,0.4724220623501199,43.05991415335519,42.00769029555472
681,641927,"Ober, Bailey",681,100,0.216,0.135,0.264,0.351,0.262,0.248,0.206,40,185,85.1,15.3,2029,83.3,84.45,112,380,301,1.2000000000000028,7.21,116,147,119,151,297,328,296,"3.501","-3.501","70.1","7.9",195,135,27,7,0,6,51,26.2,9,4.6,2.82023,0.48606,1.49526,-0.38524,"91.2",138,24.444444444444443,6.666666666666667,4.615384615384616,5.98,-1.45,-0.36,1.81,0.251,9,"-0.514096916",0.242,0.327,"0.514096916",0.01,0.009000000000000008,0.024,0.014,29.5,"31.0",17.809136034136728,-17.402529363240344,33.86259453474127,0.4274193548387097,37.77406164349019,40.75509722873624
677,608379,"Wacha, Michael",677,100,0.172,0.061,0.219,0.232,0.214,0.262,0.211,34,198,82.8,20.8,1537,79.8,80.2,107,402,275,0.4000000000000057,6.65,114,148,122,151,292,323,297,"17.843","-17.843","69.3","7.8",216,155,24,8,2,0,44,20.4,15,6.9,2.96486,0.63059,1.07959,-0.39347,"91.1",157,26.143790849673206,4.57516339869281,3.2407407407407405,6.65,-1.42,-0.34,2.04,0.236,7,"-2.635598227",0.273,0.317,"2.635598227",-0.039,-0.03700000000000003,-0.085,-0.048,26.6,"53.3",18.34534405775925,-17.246171894974594,32.878615481386646,0.4645669291338583,38.00188239749669,41.546855329869636
