"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
976,450203,"Morton, Charlie",976,100,0.228,0.158,0.317,0.386,0.311,0.292,0.211,55,241,89.6,11.4,3163,81.4,80.91,182,480,496,-0.5,6.11,114,147,118,148,301,327,299,"-1.082","1.082","69.8","7.7",275,154,36,9,1,9,89,32.4,21,7.6,4.20616,-0.74475,-1.28001,0.2397,"92.1",129,35.064935064935064,10.38961038961039,5.818181818181818,5.32,-2.58,0.31,1.78,0.316,16,"0.110860656",0.302,0.348,"-0.110860656",0.017,0.014000000000000012,0.038,0.019,37.9,"20.9",15.099147721273098,-11.690900264746805,34.757607026537585,0.4810126582278481,35.71446122340613,37.70431624226833
957,664285,"Valdez, Framber",957,100,0.193,0.105,0.377,0.298,0.268,0.235,0.165,46,238,87,4.3,2943,79.4,78.22,196,449,508,-1.2000000000000028,5.86,110,149,119,146,303,328,298,"-2.257","2.257","68.4","7.8",271,118,28,14,1,3,121,44.6,26,9.6,4.90093,-1.23023,-1.0966,0.749,"91.9",92,38.983050847457626,5.084745762711865,2.214022140221402,5.95,0.82,-0.2,1.56,0.289,6,"0.23584117",0.264,0.237,"-0.23584117",0.028,0.024999999999999967,0.061,0.033,43.7,"41.9",15.771775007632435,-14.970648787017613,34.854210196996206,0.4863636363636364,34.56438583812256,38.22341416240464
872,663623,"Irvin, Jake",872,100,0.269,0.274,0.299,0.543,0.366,0.342,0.258,53,197,88,11.9,2486,77.8,78.74,101,401,471,0.9000000000000057,6.99,114,149,120,151,303,326,301,"-10.628","10.628","70.5","7.8",212,149,24,16,1,12,48,22.6,14,6.6,4.13241,-0.3539,-1.2347,0.38514,"92.4",128,42.17687074829932,14.965986394557824,10.377358490566039,5.72,-2.25,0.1,1.99,0.321,22,"1.218807339",0.311,0.485,"-1.218807339",0.011,0.010000000000000009,0.058,0.024,25.2,"28.3",17.829172423562817,-14.639426670473233,32.61397464194278,0.46446700507614214,37.75873791369604,40.78692006600314
711,666157,"Lodolo, Nick",711,100,0.195,0.13,0.31,0.325,0.26,0.211,0.138,30,154,85.4,21.6,2569,81.9,81.53,143,355,356,-0.4000000000000057,6.1,109,151,119,148,297,322,287,"1.405","-1.405","68.3","8.0",170,91,17,9,1,3,65,38.2,4,2.4,3.40322,0.0037,-0.70284,0.25001,"91.8",133,33.33333333333333,7.777777777777778,4.117647058823529,5.44,3.71,-0.33,1.88,0.26,7,"-0.197609001",0.211,0.25,"0.197609001",0.057,0.049000000000000016,0.075,0.049,40.3,"16.5",17.811556538872164,-18.92978372412707,33.852380067570174,0.39316239316239315,36.875362582999244,40.99432664649599
698,572955,"Johnson, Pierce",698,100,0.238,0.179,0.273,0.417,0.292,0.291,0.235,40,168,90.4,16.9,2914,85.8,85.09,90,328,370,-0.7000000000000028,5.69,111,149,116,149,302,323,296,"1.963","-1.963","68.9","7.4",179,128,25,7,1,7,43,24,8,4.5,3.44142,-0.36056,-0.61545,-0.07006,"92.2",163,46.09375,9.375,6.70391061452514,6.24,-1.87,0.08,2.07,0.268,12,"-0.281232092",0.269,0.408,"0.281232092",0.003,-0.0010000000000000009,0.009,0.001,27.4,"40.4",9.313990915459794,-2.0047752956922955,33.83628028377356,0.5493827160493827,37.076610914047066,31.530184393191895
675,669022,"Gore, MacKenzie",675,100,0.217,0.096,0.36,0.312,0.283,0.297,0.212,34,157,90.5,8,2344,81.6,82.26,105,294,381,0.7000000000000028,6.83,108,150,122,148,300,322,296,"0.764","-0.764","67.8","7.8",181,90,25,6,0,3,69,38.1,22,12.2,4.52157,-1.0817,-0.38783,0.32215,"92.5",118,45.55555555555556,12.222222222222221,6.077348066298343,5.77,1.72,-0.06,1.62,0.311,11,"-0.113185185",0.309,0.354,"0.113185185",0.005,0.0020000000000000018,-0.042,-0.014,35.7,"51.2",13.277668325138395,-11.187786344610796,33.43804601934092,0.5559440559440559,36.0556840562289,37.0971974818558
660,694738,"Roupp, Landen",660,100,0.197,0.156,0.245,0.354,0.281,0.266,0.187,29,147,83.3,13.8,3029,76.7,76.01,111,310,350,-0.7000000000000028,6.13,109,149,121,148,296,325,296,"0.803","-0.803","68.4","7.8",168,101,18,5,0,6,49,29.2,17,10.1,4.47256,-0.54798,-1.54933,-0.11252,"90.8",129,19.801980198019802,6.9306930693069315,4.166666666666666,5.63,-2.4,0.13,1.82,0.281,7,"-0.121666667",0.276,0.315,"0.121666667",0.01,0.0050000000000000044,0.039,0.015,35.8,"28.5",19.381615775553488,-16.997933324742213,34.76217470208471,0.4139072847682119,38.291469355301146,42.41656160415114
644,668909,"Williams, Gavin",644,100,0.116,0.065,0.177,0.181,0.188,0.235,0.171,16,138,88.1,1.8,2454,82,82.35,88,256,388,0.4000000000000057,6.74,113,147,124,150,298,320,301,"6.028","-6.028","68.9","7.8",156,81,12,1,1,2,58,37.2,16,10.3,4.52957,-1.11026,-0.83163,0.51135,"91.9",108,33.33333333333333,2.4691358024691357,1.282051282051282,6.18,-2.78,-0.15,1.63,0.212,2,"-0.936024845",0.261,0.249,"0.936024845",-0.055,-0.049000000000000016,-0.068,-0.047,34.4,"39.3",14.711300930139211,-11.102849408011174,34.04531806696348,0.5217391304347826,36.021377095593074,36.675168214843346
638,601713,"Pivetta, Nick",638,100,0.216,0.137,0.25,0.353,0.26,0.345,0.284,33,153,89.5,6.3,2797,79,79.09,43,266,372,0.09999999999999432,6.73,121,148,120,152,299,326,302,"4.873","-4.873","70.2","7.6",161,120,20,9,0,4,34,21.1,7,4.3,5.09964,-1.39351,-0.58748,0.394,"92.8",121,43.333333333333336,10.833333333333334,8.074534161490684,6.84,-1.01,-0.14,2.18,0.248,13,"-0.763793103",0.313,0.493,"0.763793103",-0.068,-0.065,-0.14,-0.085,16.2,"58.0",14.09033143783069,-10.594273706554285,32.00483509893896,0.5708661417322834,36.56628489419815,37.60914405868776
594,680730,"Parker, Mitchell",594,100,0.296,0.207,0.346,0.504,0.357,0.363,0.316,40,135,92.5,12,2280,81.1,82.07,80,276,318,1,6.76,109,150,121,148,304,324,300,"-8.59","8.59","68.2","7.5",144,108,21,14,1,4,28,19.4,7,4.9,4.02715,-0.58177,-0.05998,0.03171,"93.2",149,48.148148148148145,9.25925925925926,6.944444444444445,6.19,1.62,0.05,2.07,0.333,10,"1.446127946",0.352,0.492,"-1.446127946",-0.02,-0.01899999999999996,0.012,-0.006,29,"59.5",11.11452733252237,-9.119875003680264,31.721994536938173,0.46494464944649444,35.98476868571366,36.62592015690389
