"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
875,676979,"Crochet, Garrett",875,100,0.25,0.139,0.281,0.389,0.294,0.296,0.25,54,216,86.7,9.7,2596,90.9,91.78,116,479,396,0.8999999999999915,6.71,107,150,115,146,293,321,288,"9.535","-9.535","71.8","7.4",230,178,37,10,1,6,40,17.4,12,5.2,2.23505,0.51883,-0.30686,0.21534,"92.2",128,36.15819209039548,6.779661016949152,5.217391304347826,6.18,2.43,-0.19,2.37,0.288,12,"-1.089714286",0.291,0.382,"1.089714286",0,-0.0030000000000000027,0.007,-0.002,24.2,"36.8",10.776013130523385,-4.55910003539312,32.34800491925503,0.5042735042735043,34.65063281925824,31.09923537331368
872,608331,"Fried, Max",872,100,0.236,0.118,0.266,0.355,0.296,0.318,0.265,52,220,85.7,10.3,2302,93.6,94.11,87,468,404,0.5,6.48,109,151,122,150,294,321,283,"11.671","-11.671","70.5","6.8",247,188,34,13,2,3,34,13.8,22,8.9,1.8467,0.74702,-0.12886,0.10115,"91.9",147,33.51063829787234,6.914893617021277,5.263157894736842,6.03,1.54,-0.47,2.7,0.313,13,"-1.338417431",0.339,0.375,"1.338417431",-0.029,-0.026000000000000023,-0.02,-0.022,18.6,"46.8",3.738113628481172,8.24865644922289,32.29807622339232,0.420824295010846,32.03407754431829,24.526554717722025
829,694477,"Patrick, Chad",829,100,0.259,0.184,0.323,0.443,0.331,0.321,0.246,48,185,89.5,27.9,2411,87.9,87.65,127,467,362,-0.20000000000000284,6.18,112,149,122,150,303,328,300,"2.896","-2.896","69.8","7.4",207,136,28,13,0,7,53,25.6,15,7.2,1.93081,1.02657,-0.31597,-0.11967,"91.6",185,39.705882352941174,8.823529411764707,5.797101449275362,5.43,-1.48,0.33,2.69,0.322,12,"-0.34933655",0.311,0.427,"0.34933655",0.013,0.01100000000000001,0.016,0.01,27.2,"31.4",11.554821673806037,-3.6555730230748784,30.04045252663111,0.5925110132158591,38.88455436873095,31.49993352782199
729,656876,"Rasmussen, Drew",729,100,0.174,0.143,0.172,0.317,0.238,0.272,0.224,28,161,89.2,7.6,2704,90.3,91.13,104,388,341,0.7999999999999972,6.57,109,148,117,149,299,323,296,"13.557","-13.557","71.1","7.3",174,130,19,2,0,7,33,19,8,4.6,2.45288,0.32266,-0.3792,0.05552,"92.6",126,42.30769230769231,5.384615384615385,4.022988505747127,5.91,-1.97,0.62,2.16,0.225,7,"-1.859670782",0.272,0.348,"1.859670782",-0.05,-0.047000000000000014,-0.031,-0.034,26.8,"53.9",9.401721732190289,-2.1478940060496776,33.09746603872203,0.5347593582887701,34.56879252142907,29.85860847872665
707,445276,"Jansen, Kenley",707,100,0.164,0.138,0.171,0.302,0.238,0.313,0.219,26,159,90.9,27.8,2602,92.8,93.58,99,393,314,0.7999999999999972,6.89,110,146,116,148,306,327,302,"12.669","-12.669","72.0","7.1",176,124,16,4,0,6,37,21,15,8.5,1.09816,1.56454,-0.20324,-0.02384,"91.9",194,46.774193548387096,9.67741935483871,6.8181818181818175,6.32,-2.22,-0.12,2.66,0.234,12,"-1.791937765",0.285,0.441,"1.791937765",-0.055,-0.05099999999999996,-0.139,-0.075,25.2,"51.3",8.571213578179233,0.8092130495078316,30.963290767984994,0.5254691689008043,35.55455386976485,28.64394886100022
663,607200,"Fedde, Erick",663,100,0.315,0.255,0.326,0.57,0.392,0.343,0.27,52,165,88.4,20.6,2138,90.3,91.27,69,331,332,1,6.68,111,147,115,149,299,324,299,"-8.904","8.904","70.1","6.9",180,142,29,13,1,9,26,14.4,12,6.7,2.0159,0.7613,-0.10567,0.00916,"91.7",180,42.5531914893617,9.219858156028367,7.222222222222221,5.85,-1.45,0.11,2.87,0.358,13,"1.342986425",0.317,0.484,"-1.342986425",0.045,0.04099999999999998,0.086,0.049,20.8,"36.2",6.146020380238973,6.701662019818465,31.679244040238874,0.5141065830721003,36.86794645230865,25.901763353874276
652,571578,"Corbin, Patrick",652,100,0.257,0.182,0.28,0.439,0.339,0.341,0.265,38,148,88.1,13.6,2324,87.5,88.23,80,343,309,0.7000000000000028,6.76,109,150,113,146,296,323,296,"5.618","-5.618","72.7","7.2",168,123,21,12,0,5,26,15.5,18,10.7,2.43127,0.5488,-0.07227,0.05498,"92.9",130,36.885245901639344,6.557377049180328,4.761904761904762,6.08,2.75,-0.39,2.46,0.339,8,"-0.861656442",0.351,0.416,"0.861656442",-0.008,-0.011999999999999955,0.023,-0.002,23.3,"33.5",10.192655832998769,-2.3888103429208507,33.41260407345004,0.5565749235474006,32.847919605476605,29.396875567777318
620,592836,"Walker, Taijuan",620,100,0.244,0.236,0.226,0.48,0.348,0.303,0.208,30,123,86.5,24.8,2434,87.1,86.79,55,281,339,-0.29999999999999716,5.9,109,147,114,148,295,321,292,"1.858","-1.858","70.2","7.2",139,103,19,2,0,9,21,15.1,15,10.8,1.92698,1.05874,-0.25564,0.00618,"91.4",173,35.92233009708738,7.766990291262135,5.755395683453238,6.5,-1.91,0.18,2.7,0.326,8,"-0.299677419",0.294,0.394,"0.299677419",0.036,0.03200000000000003,0.086,0.045,19.6,"40.1",11.619395121207004,-0.9706130818125385,29.896819911510196,0.5652173913043478,38.122415836689534,30.52154531334791
620,676440,"Bibee, Tanner",620,100,0.22,0.203,0.211,0.424,0.309,0.29,0.216,26,118,89.7,23.3,2705,86.2,86.74,92,308,312,0.5,6.63,110,149,123,148,298,321,298,"4.37","-4.37","70.9","7.7",129,97,16,3,0,7,21,16.3,9,7,2.804,0.26798,-0.66268,-0.12261,"91.8",146,37.11340206185567,6.185567010309279,4.651162790697675,6.28,-2.28,0.39,2.29,0.287,6,"-0.70483871",0.283,0.376,"0.70483871",0.004,0.0040000000000000036,0.048,0.019,29.9,"52.6",13.956367744874838,-8.548561319201143,32.07676655985389,0.5819397993311036,37.89400857467602,34.42994048304942
612,687765,"Spence, Mitch",612,100,0.318,0.216,0.32,0.534,0.39,0.389,0.309,47,148,91.8,11.4,2682,91.1,91.21,60,305,307,0.10000000000000853,6.26,111,148,117,147,299,324,295,"-5.015","5.015","68.9","7.0",166,130,31,8,0,8,20,12,14,8.4,2.37629,0.36408,-0.32511,-0.01799,"93.5",164,48.837209302325576,10.852713178294573,8.433734939759036,6.11,-2.35,0.16,2.53,0.38,14,"0.819444444",0.377,0.529,"-0.819444444",0.009,0.0030000000000000027,0.005,0.001,19.7,"43.7",6.711349737178415,3.542609566422335,31.751886130891393,0.548951048951049,35.96924916041399,26.872954509589842
