"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
1138,592332,"Gausman, Kevin",1138,100,0.181,0.113,0.257,0.294,0.221,0.226,0.193,51,282,82.8,7.9,1691,84.9,85.28,232,601,537,0.3999999999999915,6.73,111,148,116,148,294,324,296,"8.698","-8.698","71.1","8.0",296,182,33,10,2,6,102,34.5,12,4.1,2.8136,0.37752,1.29025,0.00548,"91.5",108,29.67032967032967,6.593406593406594,4.054054054054054,5.63,-2.61,-0.21,1.48,0.214,12,"-0.764323374",0.226,0.287,"0.764323374",-0.012,-0.01200000000000001,0.007,-0.005,38.6,"33.9",17.973317677088456,-17.91814875395522,33.92044294213385,0.4749568221070812,37.530317552846014,40.33490956542478
762,641793,"Littell, Zack",762,100,0.248,0.144,0.276,0.392,0.277,0.265,0.24,55,222,89,9.1,1105,83.4,82.96,104,425,337,-0.4000000000000057,6.11,112,148,117,149,297,326,297,"-4.701","4.701","71.3","7.8",225,178,39,8,0,8,44,19.6,1,0.4,3.36959,-0.07766,0.97084,-0.17265,"91.8",120,35.59322033898305,4.519774011299435,3.5555555555555554,6.08,-0.71,-0.11,1.87,0.254,8,"0.616929134",0.247,0.368,"-0.616929134",0.008,0.007000000000000006,0.024,0.012,24.5,"37.2",15.509649817525275,-10.621988831102193,34.079492244349524,0.5298329355608592,36.96719811569635,37.30945577079278
710,808967,"Yamamoto, Yoshinobu",710,100,0.132,0.107,0.204,0.239,0.183,0.183,0.142,26,197,89.4,-7.5,1429,90.9,91.43,157,373,337,0.5,6.53,111,150,124,150,295,319,298,"9.647","-9.647","71.4","7.6",207,108,15,6,0,5,89,43,9,4.3,2.58721,0.16747,0.94089,-0.17176,"92.5",70,41.66666666666667,5.555555555555555,2.898550724637681,5.41,-1.89,-0.39,1.47,0.174,6,"-1.358732394",0.183,0.224,"1.358732394",-0.01,-0.009000000000000008,0.015,0,42.1,"41.2",10.589937471900573,-4.074424336310856,35.95840606168423,0.6143250688705234,37.458716669687675,30.989938224196983
683,684007,"Imanaga, Shota",683,100,0.226,0.142,0.273,0.368,0.262,0.262,0.218,48,212,86.8,12.9,1277,83,82.97,136,420,263,0,6.31,110,152,120,150,305,323,294,"5.518","-5.518","71.9","8.1",216,157,32,9,0,7,55,25.5,4,1.9,2.75757,0.55698,1.0806,-0.90212,"91.5",134,36.774193548387096,8.38709677419355,6.018518518518518,5.4,2.61,0.24,1.85,0.241,13,"-0.807906296",0.233,0.378,"0.807906296",0.008,0.00799999999999998,-0.01,0,32.4,"35.0",16.33241519029765,-16.263133087827526,32.23000433064741,0.4987714987714988,39.3832537697587,40.60582001881779
603,543135,"Eovaldi, Nathan",603,100,0.196,0.101,0.279,0.298,0.24,0.264,0.223,33,168,88.6,2.5,1513,87.6,88.44,126,350,253,0.8000000000000114,6.85,114,150,112,150,294,323,296,"10.75","-10.75","72.6","7.7",180,113,20,11,0,2,56,31.1,9,5,2.95849,0.01834,1.03156,-0.16957,"92.1",84,40.707964601769916,6.1946902654867255,3.888888888888889,5.43,-2.43,0.05,1.72,0.244,7,"-1.782752902",0.269,0.331,"1.782752902",-0.027,-0.025000000000000022,-0.033,-0.024,36,"32.5",14.695473644632044,-10.009089169758674,35.34819045054506,0.5102639296187683,37.059883729462925,35.660425408247704
602,608372,"Sugano, Tomoyuki",602,100,0.218,0.106,0.284,0.324,0.251,0.296,0.252,37,170,86,5.2,1590,87.3,87.46,82,289,313,0.20000000000000284,6.31,113,147,118,149,299,324,303,"1.998","-1.998","71.6","7.8",177,120,28,4,1,4,50,28.2,5,2.8,2.51905,0.46447,0.98581,-0.53625,"91.3",115,27.500000000000004,8.333333333333332,5.649717514124294,6.02,-2.33,-0.36,1.6,0.249,10,"-0.331893688",0.282,0.398,"0.331893688",-0.034,-0.032999999999999974,-0.074,-0.045,28.4,"42.1",13.803489348836594,-7.680502135831539,34.697945798212146,0.5759717314487632,39.28586478656815,34.83447085871448
569,663554,"Mize, Casey",569,100,0.297,0.198,0.386,0.494,0.349,0.296,0.251,51,172,89.6,6.3,1445,88.6,89.55,115,346,223,1,6.87,116,148,115,150,293,329,299,"-10.767","10.767","71.9","7.7",178,121,32,11,1,7,51,28.7,5,2.8,2.54026,0.36549,1.19942,-0.51896,"92.6",117,41.32231404958678,10.743801652892563,7.303370786516854,5.76,-2.14,-0.23,1.72,0.32,13,"1.892267135",0.276,0.41,"-1.892267135",0.046,0.043999999999999984,0.084,0.053,33.2,"43.4",14.520374714873414,-9.61701718829203,33.853580003496035,0.5249266862170088,38.922979380230345,35.92189288611686
566,665152,"Kremer, Dean",566,100,0.201,0.104,0.28,0.305,0.232,0.209,0.181,31,154,83.2,15,1130,81.9,81.65,122,310,256,-0.20000000000000284,6.12,115,146,120,149,296,325,301,"4.311","-4.311","70.9","8.0",159,103,21,7,0,3,51,32.1,5,3.1,2.58673,0.81207,0.88592,-0.4932,"90.5",123,23.300970873786408,4.854368932038835,3.1446540880503147,6.33,-2.05,-0.29,1.85,0.226,5,"-0.761660777",0.207,0.27,"0.761660777",0.02,0.019000000000000017,0.035,0.023,39.4,"47.0",20.178932373948562,-20.820911741620545,31.830440532530215,0.3941368078175896,39.56246587291301,43.32766584270405
510,606160,"Montero, Rafael",510,100,0.168,0.124,0.213,0.292,0.27,0.263,0.174,19,113,85.6,3,1618,87.9,88,92,255,255,0.09999999999999432,6.32,114,148,118,149,298,324,297,"3.89","-3.89","69.4","7.7",133,78,11,5,0,3,35,26.3,20,15,2.87333,0.07633,1.01069,-0.1208,"91.6",94,28.57142857142857,3.896103896103896,2.2556390977443606,4.94,-1.77,-0.36,1.63,0.293,3,"-0.762745098",0.299,0.259,"0.762745098",-0.006,-0.006000000000000005,0.033,0.007,36.1,"33.2",13.44376964969368,-11.197947209004136,34.44916896300658,0.5100401606425703,37.4934218190717,35.52697254584441
479,518585,"Cruz, Fernando",479,100,0.178,0.102,0.358,0.28,0.234,0.211,0.152,21,118,86.5,13.6,841,80.6,81.72,137,242,237,1.1000000000000085,6.97,112,149,123,151,291,320,285,"6.094","-6.094","65.5","8.1",128,55,13,6,0,2,63,49.2,10,7.8,3.49409,0.00667,0.37912,0.06885,"91.9",133,38.18181818181819,10.909090909090908,4.6875,6.05,-2.19,0.22,1.51,0.242,6,"-1.27223382",0.218,0.247,"1.27223382",0.026,0.023999999999999994,0.033,0.023,56.6,"49.7",20.257515038529405,-26.44266837401483,32.55682878497024,0.3924050632911392,37.55146128751468,46.16309952744911
463,592836,"Walker, Taijuan",463,100,0.283,0.192,0.293,0.475,0.346,0.338,0.295,34,120,90.3,0.3,1454,87.4,86.97,46,226,237,-0.4000000000000057,6.03,111,146,114,148,293,320,295,"-8.46","8.46","71.6","7.5",130,104,22,6,1,5,17,13.1,8,6.2,2.66082,0.32707,1.03637,-0.48812,"93.2",114,45.19230769230769,6.730769230769231,5.384615384615385,6.42,-1.94,-0.54,1.83,0.331,7,"1.827213823",0.342,0.435,"-1.827213823",-0.012,-0.01100000000000001,0.04,0.008,20.4,"39.8",10.904826034948165,-1.248492188056455,33.53023629059082,0.6561085972850679,39.80045448428915,30.586231992319846
429,661395,"Duran, Jhoan",429,100,0.237,0.061,0.263,0.298,0.253,0.265,0.233,27,114,88.9,-11.2,1825,97.8,97.59,58,250,179,-0.20000000000000284,6.23,113,147,116,148,294,324,293,"12.454","-12.454","71.5","7.0",121,100,22,4,0,1,15,12.4,6,5,2.2496,0.14214,1.16858,-0.02881,"92.7",85,43,5,4.132231404958678,6.02,-2.32,-0.19,2.08,0.273,5,"-2.903030303",0.27,0.334,"2.903030303",0.004,0.0030000000000000027,-0.036,-0.012,23.2,"33.3",4.57527909752362,6.831616519347494,33.96483034787245,0.4149377593360996,35.78116388468178,24.29579062901722
423,669302,"Gilbert, Logan",423,100,0.119,0.081,0.31,0.2,0.16,0.137,0.099,16,135,82.9,11.9,727,81.7,83.28,123,244,179,1.5999999999999943,7.41,114,147,122,146,288,321,296,"3.452","-3.452","67.2","8.0",141,45,11,2,0,3,90,63.8,2,1.4,3.50754,-0.08072,0.40182,-0.02633,"91.3",111,26.666666666666668,8.88888888888889,2.8368794326241136,5.66,-0.99,-0.08,1.43,0.156,4,"-0.81607565",0.138,0.16,"0.81607565",0.02,0.017999999999999988,0.04,0.023,50.4,"34.7",19.552281449078375,-21.65157018221636,33.33183919977519,0.42543859649122806,37.5333189176613,44.200989168938854
422,615698,"Quantrill, Cal",422,100,0.268,0.188,0.299,0.455,0.317,0.311,0.275,30,112,89.4,10.3,1127,86.4,86.41,49,205,217,0,6.43,111,146,120,148,297,319,292,"-8.104","8.104","71.6","7.7",115,91,19,5,2,4,21,18.3,1,0.9,2.56609,0.50533,0.97431,-0.25716,"93.1",156,42.69662921348314,6.741573033707865,5.217391304347826,6.3,-1.29,-0.63,2.02,0.287,6,"1.920379147",0.294,0.422,"-1.920379147",-0.007,-0.007000000000000006,0.033,0.006,23.9,"43.9",13.900446526748162,-8.197113145651473,32.55540005654196,0.5707070707070707,38.47738067228127,34.80746082965397
405,694973,"Skenes, Paul",405,100,0.269,0.097,0.295,0.366,0.307,0.311,0.268,25,93,89.5,-3.4,1676,93.7,94.17,49,215,190,0.5,6.6,109,146,109,148,292,313,294,"1.513","-1.513","70.6","7.4",101,80,20,3,0,2,13,12.9,8,7.9,2.60242,-0.00197,1.11751,-0.38556,"92.4",72,44.871794871794876,5.128205128205128,3.9603960396039604,5.58,-2.46,-0.46,1.86,0.327,4,"-0.373580247",0.327,0.375,"0.373580247",0.001,0,-0.009,-0.004,22.8,"22.3",9.540782027733588,-3.0678389943618525,33.511773403547124,0.5961538461538461,37.105998606989964,29.826600559269792
383,641816,"Mahle, Tyler",383,100,0.196,0.098,0.233,0.295,0.237,0.304,0.251,22,112,84.7,10.5,1733,84.1,84.26,55,229,154,0.20000000000000284,6.53,113,149,112,150,295,325,297,"5.233","-5.233","71.6","7.8",120,88,15,5,0,2,25,20.8,7,5.8,2.6752,0.56822,1.15512,-0.27501,"91.2",127,29.545454545454547,7.954545454545454,5.833333333333333,5.59,-1.9,-0.31,1.92,0.242,7,"-1.366318538",0.296,0.396,"1.366318538",-0.055,-0.05399999999999999,-0.101,-0.067,24,"38.4",16.923577278212846,-13.221745151999517,32.88310268828396,0.4864864864864865,40.07185622623236,37.70876010335343
344,671737,"Bradley, Taj",344,100,0.259,0.153,0.279,0.412,0.299,0.265,0.218,22,85,88,-1.7,1700,91.2,91.65,40,171,173,0.3999999999999915,6.46,111,146,116,149,298,327,298,"-3.917","3.917","72.0","7.5",93,71,15,4,0,3,17,18.3,4,4.3,1.99015,0.74241,1.05506,-0.46523,"92.3",99,33.80281690140845,8.450704225352112,6.451612903225806,6.16,-1.42,-0.2,2.22,0.29,6,"1.138662791",0.254,0.359,"-1.138662791",0.041,0.035999999999999976,0.053,0.034,23.4,"51.7",13.542828430846479,-6.142154030616191,31.030645610568698,0.6303030303030303,38.13847848902454,32.77463173741738
342,673513,"Matsui, Yuki",342,100,0.223,0.17,0.309,0.394,0.289,0.249,0.197,21,94,86,10.2,1171,84,83.14,83,185,157,-0.9000000000000057,5.89,111,149,121,146,302,323,295,"-0.591","0.591","68.8","7.9",102,59,13,4,0,4,36,35.3,7,6.9,2.95652,0.30086,0.77038,-0.44424,"92.0",146,32.20338983050847,6.779661016949152,3.9215686274509802,6.03,2.12,0.39,1.57,0.275,4,"0.172807018",0.251,0.313,"-0.172807018",0.026,0.02400000000000002,0.081,0.04,44.9,"54.9",15.524988582059795,-12.27757280382049,34.203520308571846,0.5027624309392266,38.761103079667755,38.02212733200441
330,679358,"Orze, Eric",330,100,0.242,0.077,0.361,0.319,0.274,0.24,0.199,22,91,84.9,8.7,1578,84.1,84.95,57,179,151,0.8000000000000114,6.94,111,147,116,148,295,323,297,"1.887","-1.887","70.0","7.8",98,61,16,5,1,0,30,30.6,5,5.1,3.24421,-0.00875,1.17436,-0.15479,"91.4",103,28.333333333333332,6.666666666666667,4.081632653061225,5.81,-1.52,-0.35,2.23,0.296,4,"-0.571818182",0.257,0.275,"0.571818182",0.043,0.03899999999999998,0.044,0.034,31.8,"45.6",16.956616220951293,-13.178019734761767,31.730506826214075,0.5232558139534884,38.05760759566302,38.71633330512673
322,489446,"Yates, Kirby",322,100,0.267,0.253,0.36,0.52,0.365,0.323,0.267,20,75,87.8,9.1,1218,85.9,85.63,53,150,172,-0.30000000000001137,6.13,112,149,121,148,301,317,295,"-6.518","6.518","71.2","7.8",83,52,5,13,0,2,23,27.7,7,8.4,3.08261,0.00915,1.01429,0.30168,"93.0",125,44.230769230769226,5.769230769230769,3.614457831325301,5.13,-2.52,-0.19,1.42,0.337,3,"2.024223602",0.337,0.392,"-2.024223602",0,0,0.128,0.042,35.3,"18.7",15.04110691915147,-14.951970687314422,36.51386845328428,0.4589041095890411,35.20876559642182,39.214623472296516
315,657746,"Ryan, Joe",315,100,0.239,0.239,0.261,0.478,0.319,0.329,0.256,16,67,90.1,7.4,2015,87.6,87.93,29,124,191,0.30000000000001137,6.64,116,146,118,151,298,327,294,"-6.674","6.674","70.4","7.6",71,51,8,4,0,4,17,23.9,2,2.8,2.88292,0.1074,1.26949,-0.56892,"93.0",134,47.05882352941176,17.647058823529413,12.676056338028168,4.88,-2.51,0,1.39,0.271,9,"2.118730159",0.288,0.483,"-2.118730159",-0.017,-0.01699999999999996,-0.005,-0.01,23.4,"25.2",10.956657460930233,-9.43034829063785,33.260728341361464,0.5619834710743802,37.31151276446301,35.49519733962858
