"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
741,667755,"Soriano, José",741,100,0.182,0.152,0.274,0.333,0.26,0.242,0.171,24,132,84.7,6.9,2489,85.2,85.48,115,266,475,0.29999999999999716,6.65,108,147,116,149,305,327,301,"0.757","-0.757","67.2","7.8",146,78,13,6,1,4,55,37.7,12,8.2,3.98841,-0.82602,-1.0447,0.0003,"91.5",115,25.64102564102564,10.256410256410255,5.47945205479452,5.99,-1.01,0.14,1.89,0.255,8,"-0.102159244",0.246,0.294,"0.102159244",0.011,0.009000000000000008,0.039,0.018,43.2,"41.1",15.491661254728001,-13.042005789204545,33.36806394395252,0.5153846153846153,38.866465729123064,37.91534723565523
736,668678,"Gallen, Zac",736,100,0.219,0.219,0.326,0.438,0.305,0.256,0.191,39,178,89.1,2.8,2441,81.1,81.23,143,368,368,0.10000000000000853,6.46,112,148,118,149,300,324,299,"-4.123","4.123","69.6","7.9",193,101,19,10,1,9,78,40.4,14,7.3,4.43333,-0.95429,-0.40929,-0.0152,"92.4",98,45,11,5.699481865284974,5.93,-2.92,0.06,1.45,0.275,11,"0.560190217",0.25,0.33,"-0.560190217",0.028,0.025000000000000022,0.108,0.049,38.9,"41.6",16.691285926234883,-15.691584542710665,35.39815003873891,0.5165745856353591,36.2567302473331,40.60780562583819
731,669358,"Baz, Shane",731,100,0.214,0.107,0.331,0.321,0.263,0.249,0.197,48,224,90.1,1.4,2699,85,84.96,103,349,382,0,6.31,108,149,119,148,302,323,295,"-0.197","0.197","68.7","7.4",244,140,30,15,0,3,86,35.2,13,5.3,4.20477,-1.03992,-0.62943,-0.168,"92.9",104,43.57142857142857,8.571428571428571,4.918032786885246,5.86,-1.33,0.27,2.05,0.272,12,"0.026949384",0.256,0.301,"-0.026949384",0.017,0.016000000000000014,0.02,0.014,29.5,"40.0",8.96547093938708,-4.781966357453508,32.140560604840815,0.5735294117647058,36.79962209456177,32.84297097237581
718,656427,"Flaherty, Jack",718,100,0.205,0.175,0.318,0.38,0.275,0.234,0.18,34,166,84.3,7.9,2389,77.8,77.95,152,359,359,0.20000000000000284,6.46,113,148,117,150,294,327,296,"-2.26","2.26","68.6","8.0",177,94,17,11,0,6,72,40.7,10,5.6,4.50077,-0.72286,-1.00827,0.06791,"91.2",111,35.1063829787234,8.51063829787234,4.519774011299435,5.2,-2.66,0.11,1.36,0.254,8,"0.314763231",0.231,0.298,"-0.314763231",0.025,0.022999999999999993,0.082,0.041,42.3,"24.9",17.93271990514985,-20.61692922823636,34.254170376766126,0.5,37.25113939945147,43.392977087238364
701,676962,"Brown, Ben",701,100,0.252,0.16,0.387,0.413,0.302,0.26,0.218,52,206,90.3,7.9,2284,87.2,87.73,166,385,316,0.5,6.58,111,149,116,150,299,321,296,"-3.383","3.383","68.8","7.7",220,125,34,9,3,6,83,37.7,12,5.5,3.19506,-0.20123,-0.21683,-0.02662,"92.3",134,41.6,8,4.545454545454546,6.53,-1.53,0.21,1.67,0.291,10,"0.482596291",0.26,0.33,"-0.482596291",0.034,0.030999999999999972,0.083,0.042,43.1,"46.5",13.832390633391238,-9.635909694288241,33.22638457702936,0.5197889182058048,37.85280478902566,36.330729214991855
659,608566,"Márquez, Germán",659,100,0.208,0.214,0.266,0.421,0.287,0.281,0.22,33,159,90.7,16.3,2652,85.5,84.42,121,329,330,-1.0999999999999943,5.52,114,148,118,147,300,329,301,"-6.049","6.049","68.4","7.8",168,102,16,8,1,8,57,33.9,8,4.8,3.18458,-0.07187,-0.14294,0.0526,"92.6",143,44.11764705882353,10.784313725490197,6.547619047619048,6.27,-2.13,0.09,1.6,0.25,11,"0.917905918",0.262,0.385,"-0.917905918",-0.012,-0.01200000000000001,0.036,0.006,36.8,"43.7",15.605083278488971,-11.48467577091863,34.817828808170226,0.5077399380804953,37.48695280778823,37.50116293905963
648,607536,"Freeland, Kyle",648,100,0.183,0.053,0.268,0.237,0.22,0.241,0.198,31,169,88.4,1.9,2395,82.6,83.3,117,315,333,0.7000000000000028,6.54,112,151,121,146,302,330,300,"5.438","-5.438","68.7","7.9",184,113,24,6,0,1,57,31,11,6,3.86412,-0.5467,-0.17487,0.11013,"92.8",109,44.24778761061947,1.7699115044247788,1.0869565217391304,5.65,2.61,0.01,1.54,0.245,2,"-0.839197531",0.258,0.273,"0.839197531",-0.015,-0.013000000000000012,-0.036,-0.021,37.1,"27.3",12.980440474909662,-10.49516969535639,34.98749384292204,0.5182724252491694,36.58574978168361,35.670021860091424
570,663893,"Little, Brendon",570,100,0.145,0.04,0.34,0.185,0.196,0.207,0.127,18,124,88.2,5.9,1797,87,85.85,140,252,318,-1.0999999999999943,5.72,108,146,114,145,292,322,294,"7.466","-7.466","66.8","7.7",141,52,16,0,1,1,75,53.2,13,9.2,3.6603,-0.62914,-0.19156,0.02287,"92.4",94,48.07692307692308,9.615384615384617,3.546099290780142,6.2,1.75,-0.22,1.1,0.229,5,"-1.309824561",0.224,0.192,"1.309824561",0.018,0.0050000000000000044,-0.007,-0.011,55.6,"40.4",13.218909951131979,-8.830332646887964,36.11399653010913,0.4918032786885246,38.10725504551163,34.807846881109555
530,686613,"Brown, Hunter",530,100,0.15,0.068,0.247,0.218,0.18,0.236,0.205,20,133,89.8,-1,2574,83.5,83.39,91,232,298,-0.09999999999999432,6.56,112,148,119,149,295,327,303,"9.075","-9.075","67.6","7.5",140,75,15,3,0,2,59,42.1,6,4.3,4.64251,-1.32906,-0.42451,0.15345,"92.4",93,44,5.333333333333334,2.857142857142857,6.23,-2.04,0.06,1.75,0.186,4,"-1.712264151",0.238,0.295,"1.712264151",-0.055,-0.05199999999999999,-0.077,-0.056,39.2,"57.8",11.371960751531901,-4.673749780060297,33.87936537989716,0.5502183406113537,36.90448353893639,33.895779984539786
457,605400,"Nola, Aaron",457,100,0.274,0.188,0.391,0.462,0.34,0.294,0.243,32,117,85.9,4,2612,78.2,78.46,90,230,227,0.29999999999999716,6.7,112,146,113,148,293,320,293,"-2.878","2.878","71.0","8.1",126,74,21,5,1,5,43,34.1,8,6.3,4.62015,-0.85923,-1.23258,0.3514,"92.3",109,36.486486486486484,8.108108108108109,4.761904761904762,5.12,-1.94,0.18,1.57,0.325,6,"0.6297593",0.297,0.37,"-0.6297593",0.031,0.028000000000000025,0.092,0.046,39.1,"21.5",17.643161240225087,-17.19633823717409,34.56144726048356,0.5353982300884956,37.634149718241076,41.99869138964402
