"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
1368,667755,"Soriano, José",1368,100,0.29,0.09,0.305,0.38,0.341,0.352,0.289,103,355,92.2,-7.6,1922,97.2,97.89,106,657,711,0.7000000000000028,6.63,109,147,116,149,306,328,302,"1.817","-1.817","71.0","7.0",412,327,83,14,0,6,32,7.8,49,11.9,2.15045,0.26031,1.10439,-0.13075,"94.6",93,54.74006116207951,5.5045871559633035,4.368932038834951,5.83,-1.26,-0.16,2.13,0.38,18,"-0.132821637",0.381,0.411,"0.132821637",0.001,-0.0010000000000000009,-0.031,-0.011,16.1,"34.5",5.108083881739718,7.223689270801099,34.348176942232065,0.495253164556962,37.07359677167792,24.26501753479111
1331,650911,"Sánchez, Cristopher",1331,100,0.269,0.073,0.312,0.342,0.302,0.318,0.261,92,342,92,0.1,2137,95.4,96.38,87,599,732,1,6.99,107,149,115,147,297,320,288,"18.56","-18.56","70.0","6.7",375,287,75,13,0,4,56,14.9,31,8.3,2.14654,0.37339,1.52678,-0.76325,"93.2",138,50.522648083623686,6.620209059233449,5.066666666666666,5.94,1.92,-0.07,2.32,0.332,19,"-1.39444027",0.325,0.398,"1.39444027",0.008,0.007000000000000006,-0.056,-0.016,14.5,"30.5",1.9234583674742223,11.086611242284468,33.65404444939195,0.3797250859106529,36.410734896131835,22.197065940283785
1306,664285,"Valdez, Framber",1306,100,0.277,0.101,0.285,0.378,0.314,0.355,0.305,93,336,91.7,1.7,2200,94.2,93.11,79,601,705,-1.1000000000000085,5.87,108,149,115,146,302,327,298,"15.352","-15.352","70.3","6.9",376,312,74,11,1,7,32,8.5,32,8.5,2.09587,0.49676,1.3126,-0.71436,"93.6",135,50.80385852090033,6.752411575562702,5.585106382978723,6.03,0.69,0.03,2.29,0.335,21,"-1.175497703",0.364,0.447,"1.175497703",-0.028,-0.02899999999999997,-0.069,-0.041,13.1,"42.0",3.4674601574991804,7.219137324962388,33.71017361121263,0.4396551724137931,36.919427236372556,24.022734274120943
1177,605135,"Bassitt, Chris",1177,100,0.297,0.134,0.335,0.431,0.351,0.356,0.294,86,290,89.9,3.2,2102,91.6,91.35,80,556,621,-0.19999999999998863,6.36,109,148,115,148,292,320,293,"2.085","-2.085","70.3","6.8",322,243,61,18,0,7,47,14.6,26,8.1,2.35575,0.38541,1.34997,0.11681,"92.5",135,44.44444444444444,7.818930041152264,5.900621118012422,5.44,-1.96,-0.24,2.46,0.366,19,"-0.177145285",0.365,0.446,"0.177145285",0.003,0.0010000000000000009,-0.015,-0.005,14.4,"31.3",2.832827522970057,9.262428336985257,33.43307140887147,0.4067796610169492,35.19313729130556,23.679853714074287
1157,663903,"Singer, Brady",1157,100,0.269,0.2,0.335,0.469,0.367,0.355,0.257,66,245,91.6,15.1,2362,92.2,93.23,75,439,718,1,7.01,112,149,118,149,293,323,294,"-5.596","5.596","69.3","6.6",297,180,37,18,2,9,71,23.9,37,12.5,1.84627,0.84598,1.32705,-0.2285,"92.3",186,49.72067039106145,11.731843575418994,7.07070707070707,5.19,-1.43,0.1,2.51,0.378,21,"0.48366465",0.372,0.432,"-0.48366465",0.012,0.006000000000000005,0.037,0.012,17.1,"23.6",2.098449147834535,11.259920115036902,33.41634326816301,0.3629976580796253,36.14684970491185,22.622846932398115
1130,605280,"Holmes, Clay",1130,100,0.286,0.104,0.311,0.39,0.355,0.358,0.275,74,259,92.2,-1.8,2179,93.7,92.74,84,507,623,-1,5.86,112,149,114,150,299,326,296,"9.715","-9.715","70.3","7.0",315,228,57,12,0,5,35,11.1,44,14,2.37043,0.24633,1.24576,0.02012,"93.7",114,51.31578947368421,7.017543859649122,5.079365079365079,6.46,-0.83,-0.25,2.35,0.399,16,"-0.859734513",0.394,0.398,"0.859734513",0.011,0.0050000000000000044,-0.008,-0.003,16.6,"43.1",6.393583792960539,5.813492189567663,33.760242875458395,0.5224839400428265,35.53150637038446,26.00586313698758
1102,657277,"Webb, Logan",1102,100,0.295,0.144,0.33,0.439,0.343,0.327,0.277,80,271,90.6,1.6,1959,92.6,93.31,57,444,658,0.7000000000000028,6.84,110,149,120,147,296,324,294,"7.838","-7.838","69.3","6.6",297,229,57,15,0,8,46,15.5,18,6.1,2.63506,0.03704,1.30899,0.38511,"93.2",130,45.851528384279476,7.423580786026202,5.723905723905724,5.08,-1.92,0.11,2.6,0.347,17,"-0.711252269",0.331,0.42,"0.711252269",0.018,0.01599999999999996,0.019,0.016,12.8,"24.0",1.5380215225917488,12.641053927041026,33.0191007555137,0.3615023474178404,35.904286731379855,22.527099637416864
1058,693821,"Elder, Bryce",1058,100,0.28,0.198,0.311,0.477,0.361,0.341,0.257,68,243,90.5,3.4,2093,91.5,91.03,64,422,636,-0.5,6.1,111,150,119,150,305,324,296,"-7.326","7.326","71.7","7.1",272,195,42,15,0,11,49,18,24,8.8,2.04966,0.6839,1.20208,0.35089,"93.2",128,49.23076923076923,10.256410256410255,7.352941176470589,6.44,-1.08,-0.15,2.03,0.354,20,"0.692438563",0.334,0.45,"-0.692438563",0.023,0.019999999999999962,0.027,0.02,15.2,"50.4",7.74757168096772,1.6214893711055571,35.322706321785255,0.5416666666666666,34.643296541423375,27.61320204842839
1028,682990,"Priester, Quinn",1028,100,0.269,0.107,0.303,0.375,0.32,0.324,0.273,68,253,89.5,-3.7,2043,93.9,94.08,59,441,587,0.19999999999998863,6.43,112,149,120,150,304,327,298,"6.082","-6.082","70.1","6.9",284,217,49,15,0,4,38,13.4,25,8.8,1.99378,0.5959,1.21988,0.12696,"92.5",119,42.05607476635514,4.672897196261682,3.5211267605633805,6.02,-1.68,-0.07,2.36,0.344,10,"-0.591634241",0.349,0.376,"0.591634241",-0.004,-0.0050000000000000044,-0.001,-0.004,13.4,"45.5",4.407085874782175,6.3380726713648095,33.545212915184884,0.4776470588235294,37.53675240335236,25.259954295902602
987,543294,"Hendricks, Kyle",987,100,0.3,0.182,0.316,0.482,0.362,0.329,0.273,76,253,86.9,12.5,1981,86.2,85.11,47,485,502,-1.1000000000000085,5.55,108,147,115,148,305,328,300,"-8.182","8.182","71.0","6.8",277,222,48,19,0,9,33,11.9,17,6.1,2.46441,0.60018,1.15509,0.10078,"91.9",152,39.63963963963964,7.657657657657657,6.137184115523466,6.06,-2.63,-0.14,2.53,0.355,17,"0.828976697",0.331,0.418,"-0.828976697",0.027,0.023999999999999966,0.064,0.033,9.7,"42.5",2.7252980275611685,7.50698616417109,33.997565903110335,0.38329764453961457,33.5132135259497,25.503806733669673
