"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
1247,656302,"Cease, Dylan",1247,100,0.228,0.146,0.354,0.374,0.29,0.258,0.202,64,281,87.1,13.2,2763,89.1,89.07,280,654,593,0,6.35,116,149,123,149,302,323,298,"3.505","-3.505","69.0","7.9",309,167,39,17,0,8,116,37.5,24,7.8,2.60302,0.27856,-0.10638,-0.02686,"91.5",135,35.32934131736527,8.383233532934131,4.53074433656958,6.05,-1.51,0.39,1.71,0.288,14,"-0.281074579",0.265,0.314,"0.281074579",0.026,0.022999999999999965,0.06,0.032,42.8,"48.5",14.87338803757533,-12.033993589477566,33.16708027504221,0.5425867507886435,38.60078483448307,37.165718598870065
1121,579328,"Kikuchi, Yusei",1121,100,0.254,0.189,0.29,0.443,0.36,0.376,0.267,62,244,91.2,14.6,2295,87,87.71,135,540,581,0.7000000000000028,6.73,108,149,115,147,305,326,299,"4.189","-4.189","71.7","7.4",295,187,39,11,1,11,59,20,47,15.9,2.69905,0.31827,-0.23984,0.0839,"93.0",153,44.623655913978496,10.21505376344086,6.440677966101695,5.29,2.51,-0.08,2.12,0.376,19,"-0.373684211",0.389,0.467,"0.373684211",-0.013,-0.013000000000000012,-0.024,-0.016,25,"34.2",8.695334010774209,-1.5634796107646014,32.56331338738083,0.5038022813688213,36.4091425852213,30.99023913787537
983,594798,"deGrom, Jacob",983,100,0.201,0.125,0.262,0.326,0.248,0.271,0.227,53,264,88.5,6.2,2698,90.4,91.18,187,479,504,0.7999999999999972,6.71,116,151,115,150,297,323,296,"12.029","-12.029","69.4","7.8",281,180,37,7,1,8,86,30.6,15,5.3,2.58828,0.20088,-0.39774,-0.05752,"92.6",135,39.10614525139665,6.70391061452514,4.270462633451958,5.52,-1.42,0.52,1.55,0.242,12,"-1.22370295",0.269,0.348,"1.22370295",-0.026,-0.027000000000000024,-0.022,-0.023,39,"32.7",12.052668258898242,-6.557585897564898,34.33471414894173,0.5399568034557235,39.711969918918,33.48213716461393
960,519242,"Sale, Chris",960,100,0.143,0.076,0.252,0.218,0.19,0.194,0.149,34,238,83,10.7,2356,79.1,79.06,187,470,490,0,6.41,109,150,119,148,303,323,294,"23.105","-23.105","65.5","7.9",257,127,23,7,1,3,113,44,10,3.9,3.91315,-0.24368,-0.8791,0.50562,"90.6",126,25.196850393700785,4.724409448818897,2.3346303501945527,4.84,3.1,-0.14,1.81,0.199,6,"-2.406770833",0.205,0.219,"2.406770833",-0.006,-0.005999999999999978,-0.001,-0.004,39.8,"8.5",16.90893756239117,-19.688629671517024,33.80878787411387,0.4088888888888889,36.80184715594454,42.03019524923355
912,607074,"Rodón, Carlos",912,100,0.133,0.098,0.203,0.231,0.204,0.222,0.159,30,225,87.3,8.8,2633,85.9,85.34,170,422,490,-0.6000000000000085,5.94,111,150,124,151,294,321,284,"11.911","-11.911","68.2","7.6",250,129,18,7,0,5,98,39.2,18,7.2,3.15535,-0.06381,-0.46288,0.21479,"92.3",131,35.65891472868217,6.2015503875969,3.2,6.24,2.57,-0.29,1.76,0.213,8,"-1.306030702",0.236,0.245,"1.306030702",-0.026,-0.022999999999999993,-0.014,-0.018,40.3,"40.5",12.793326889945256,-8.318776623094378,33.564506358334256,0.4830917874396135,35.96053397405729,35.33368140352585
883,693821,"Elder, Bryce",883,100,0.259,0.167,0.307,0.427,0.317,0.314,0.264,62,239,88.4,8.9,2491,84.3,84,149,469,414,-0.29999999999999716,6.09,113,150,121,150,304,324,297,"0.965","-0.965","69.3","7.8",257,184,40,12,2,8,56,21.8,16,6.2,3.221,-0.01274,-0.15671,-0.01378,"92.5",140,40.21739130434783,5.434782608695652,3.8910505836575875,6.49,-0.95,0.33,1.72,0.307,10,"-0.109286523",0.311,0.409,"0.109286523",-0.005,-0.0040000000000000036,0.018,0.003,31.8,"53.1",14.728120076080542,-9.805512249375262,34.76861974472015,0.537117903930131,38.43393864274588,36.38861471576647
866,571578,"Corbin, Patrick",866,100,0.264,0.181,0.325,0.445,0.314,0.291,0.248,48,182,84.6,14.4,2229,80.4,80.97,155,394,472,0.5999999999999943,6.75,112,150,113,148,295,323,296,"-7.83","7.83","68.5","8.0",190,135,30,10,1,7,49,25.8,6,3.2,3.50637,0.04056,-0.20035,0.07034,"92.1",136,37.03703703703704,8.148148148148149,5.7894736842105265,6.18,2.7,-0.16,1.39,0.287,11,"0.904157044",0.272,0.401,"-0.904157044",0.016,0.014999999999999958,0.044,0.023,39.3,"37.0",17.771389044751075,-17.375357345046123,35.68178242011912,0.4739583333333333,38.52376531316356,40.85010488861213
809,663903,"Singer, Brady",809,100,0.195,0.126,0.233,0.321,0.245,0.281,0.234,42,215,89.2,12.7,2434,82.6,83.64,118,423,386,1,6.85,112,149,119,149,295,323,293,"8.249","-8.249","70.4","7.8",231,165,26,10,1,5,53,22.9,11,4.8,3.42299,-0.09653,-0.40619,0.06276,"92.3",121,35.15151515151515,6.666666666666667,4.761904761904762,5.27,-1.53,0.44,1.67,0.239,11,"-1.019653894",0.276,0.369,"1.019653894",-0.039,-0.03700000000000003,-0.048,-0.036,27.9,"26.3",15.035776342345414,-10.705866032953635,34.07922549714271,0.5423728813559322,37.916463367793305,37.41371524566995
788,641755,"Kinley, Tyler",788,100,0.194,0.103,0.229,0.297,0.246,0.286,0.225,34,175,85.5,20.3,2556,87.4,86.73,139,418,370,-0.7000000000000028,5.59,113,148,117,147,301,327,298,"11.797","-11.797","67.8","7.8",192,135,24,6,0,4,42,21.9,13,6.8,2.73421,0.22331,-0.18387,-0.03641,"91.4",159,25.925925925925924,7.4074074074074066,5.208333333333334,6.51,-0.93,0.39,1.99,0.255,10,"-1.497081218",0.284,0.363,"1.497081218",-0.031,-0.02899999999999997,-0.066,-0.04,33.3,"45.6",15.680390265531166,-14.76554403362959,32.63898830254391,0.48872180451127817,37.99776401778585,37.46942081738934
778,669467,"Pallante, Andre",778,100,0.206,0.131,0.24,0.337,0.282,0.295,0.232,36,175,87.4,6.2,2405,87.4,88.23,121,358,420,0.7999999999999972,6.62,110,148,115,148,301,324,294,"3.366","-3.366","68.9","7.4",201,134,25,4,2,5,43,21.4,23,11.4,3.03238,-0.06739,-0.39299,-0.11821,"91.9",128,37.77777777777778,8.148148148148149,5.472636815920398,6.03,-1.71,0.23,1.73,0.295,11,"-0.432647815",0.318,0.342,"0.432647815",-0.026,-0.02300000000000002,-0.005,-0.013,33.8,"56.0",9.675276934096384,-1.9152899038259685,33.177804403477346,0.5571428571428572,39.63729372632207,31.29292832195176
