"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
933,666200,"Luzardo, Jesús",933,100,0.178,0.086,0.323,0.264,0.218,0.198,0.161,35,197,85.8,9.4,2282,86.1,85.06,171,391,542,-1,5.73,108,148,116,147,296,320,289,"14.539","-14.539","69.1","7.8",209,102,24,8,0,3,95,45.5,10,4.8,3.10314,-0.01364,-0.74618,0.19487,"91.2",124,26.732673267326735,3.9603960396039604,1.9138755980861244,5.7,2.47,-0.26,1.93,0.225,4,"-1.558306538",0.209,0.227,"1.558306538",0.017,0.016000000000000014,0.037,0.02,43.7,"30.3",13.854234795071612,-10.150018287834046,33.35909405998261,0.49343832020997375,38.338387922011066,35.73203168960965
873,657277,"Webb, Logan",873,100,0.286,0.115,0.377,0.401,0.317,0.317,0.261,52,182,86.5,12.5,2543,84.6,85.2,101,348,525,0.6000000000000085,6.71,110,149,119,148,294,323,295,"-1.903","1.903","69.0","7.4",198,134,37,12,0,3,51,25.8,11,5.6,3.22764,-0.03883,-1.21695,-0.09659,"91.4",157,32.33082706766917,11.278195488721805,7.575757575757576,4.93,-2.08,0.5,1.95,0.327,15,"0.217983963",0.304,0.432,"-0.217983963",0.025,0.02300000000000002,-0.031,0,29,"20.7",9.311406314663554,-2.00153496377902,34.15735537994919,0.49557522123893805,39.32882165156666,31.65460899571715
853,669160,"May, Dustin",853,100,0.239,0.096,0.341,0.335,0.265,0.256,0.214,47,197,86.1,13.5,3182,85.2,85.11,100,371,482,-0.10000000000000853,6.48,111,148,120,149,292,317,296,"2.686","-2.686","69.7","7.4",208,131,38,3,2,4,68,32.7,5,2.4,3.36479,-0.19764,-1.40904,0.23361,"91.4",129,34.61538461538461,6.923076923076923,4.326923076923077,4.95,-2.37,0.04,2.07,0.271,9,"-0.314888628",0.251,0.321,"0.314888628",0.025,0.020000000000000018,0.014,0.009,27,"20.1",10.148594754096754,-5.197198064362105,34.14643298609803,0.5042735042735043,36.6455172844384,33.428464983852045
678,622663,"Severino, Luis",678,100,0.186,0.135,0.233,0.321,0.264,0.289,0.208,29,156,86,18.6,2580,84.5,84.29,67,296,382,-0.20000000000000284,6.29,112,148,119,148,301,326,295,"-0.14","0.14","69.8","7.6",176,109,18,6,0,5,49,27.8,12,6.8,3.01249,0.20291,-1.31108,-0.01659,"91.8",158,36.11111111111111,8.333333333333332,5.113636363636364,5.79,-2.24,0.4,2.15,0.269,9,"0.020648968",0.292,0.347,"-0.020648968",-0.022,-0.022999999999999965,-0.026,-0.025,22.6,"36.2",13.431212699897173,-8.569422300467355,31.838938623940322,0.5644599303135889,38.072561099471216,34.4394467940018
637,676664,"Sears, JP",637,100,0.218,0.21,0.235,0.427,0.299,0.27,0.204,27,124,87.3,29.1,2315,79.2,79.03,71,272,365,-0.20000000000000284,6.36,111,151,118,147,301,324,296,"4.731","-4.731","70.5","7.4",134,92,15,5,0,7,33,24.6,7,5.2,3.12163,0.54185,-1.04309,0.50984,"91.9",191,31.521739130434785,9.782608695652174,6.7164179104477615,4.69,1.41,-0.14,2.57,0.269,9,"-0.742700157",0.256,0.366,"0.742700157",0.014,0.013000000000000012,0.061,0.029,26.1,"22.2",13.67140472980106,-9.058727112668663,30.46032181518088,0.5568181818181818,36.237510664961086,35.15304216483532
631,671106,"Allen, Logan",631,100,0.21,0.161,0.275,0.371,0.294,0.271,0.182,30,143,85,16.2,2300,78,77.9,67,250,381,-0.09999999999999432,6.27,109,150,121,147,299,320,297,"-6.117","6.117","70.5","7.8",163,98,17,8,0,5,47,28.8,16,9.8,3.69656,0.06602,-1.18849,0.48393,"91.3",146,31.313131313131315,10.1010101010101,6.134969325153374,5.18,2.43,0.08,1.82,0.294,10,"0.969413629",0.269,0.341,"-0.969413629",0.028,0.024999999999999967,0.03,0.023,26.8,"35.3",15.519387755262011,-13.76167432607672,33.601324337572734,0.5102040816326531,37.76615707474743,39.17675126079523
615,607200,"Fedde, Erick",615,100,0.191,0.153,0.204,0.344,0.28,0.317,0.226,25,131,84.9,16.9,2437,82.6,83.12,72,277,338,0.5,6.66,110,147,116,147,301,324,296,"-2.376","2.376","68.9","7.7",150,105,15,5,0,5,28,18.7,17,11.3,2.98956,0.3584,-1.06846,-0.19337,"91.4",154,36.19047619047619,11.428571428571429,8,5.64,-1.69,0.49,1.9,0.284,12,"0.386341463",0.315,0.408,"-0.386341463",-0.035,-0.031000000000000028,-0.064,-0.037,26,"30.1",14.297155208150379,-11.088921663481958,33.2092589219711,0.5509433962264151,40.53673015849323,37.41139067620194
583,668909,"Williams, Gavin",583,100,0.181,0.102,0.303,0.283,0.233,0.248,0.183,23,127,87.7,17.8,2269,86.5,87.39,114,259,324,0.9000000000000057,6.83,112,150,124,147,301,319,294,"5.278","-5.278","67.5","7.7",139,70,16,4,0,3,59,42.4,10,7.2,3.15021,-0.1036,-0.82981,-0.46518,"91.8",158,39.130434782608695,11.594202898550725,5.755395683453238,5.91,-2.91,0.36,1.64,0.239,8,"-0.905317324",0.242,0.318,"0.905317324",-0.002,-0.0030000000000000027,-0.035,-0.015,44,"32.9",13.011592631670439,-8.538620479974231,33.525707481517685,0.4375,40.38241336458851,34.972001791806406
578,701542,"Warren, Will",578,100,0.336,0.233,0.415,0.569,0.405,0.361,0.295,39,116,88.7,15.9,3024,82.7,82.74,74,224,354,0,6.59,113,149,121,151,294,323,287,"-9.817","9.817","69.7","7.7",129,87,23,10,1,5,31,24,10,7.8,3.35154,0.01691,-1.62652,-0.15396,"92.0",156,41.37931034482759,12.643678160919542,8.527131782945736,5.61,-2.62,0.38,1.91,0.388,11,"1.698442907",0.357,0.47,"-1.698442907",0.041,0.031000000000000028,0.099,0.044,33,"27.4",14.446629696168902,-8.868318449921585,33.05158469149837,0.5700934579439252,39.888648087162885,37.12051798240152
568,621051,"Wilson, Steven",568,100,0.215,0.123,0.226,0.338,0.267,0.299,0.236,28,130,87.6,26.9,2648,82.1,82.12,73,274,294,0,6.5,105,149,117,144,300,317,293,"5.147","-5.147","69.0","7.5",149,110,20,4,0,4,26,17.4,13,8.7,3.43681,-0.02873,-1.26296,-0.67289,"91.1",173,27.27272727272727,6.363636363636363,4.697986577181208,5.86,-2.42,0.36,1.95,0.275,7,"-0.906161972",0.298,0.384,"0.906161972",-0.021,-0.022999999999999965,-0.046,-0.032,26.6,"46.9",13.162220408774376,-10.958704616985813,31.883735280113818,0.5539033457249071,39.44701066952954,36.400639939440346
