"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
125,601713,"Pivetta, Nick",125,100,0.304,0.391,0.25,0.696,0.4,0.497,0.313,14,46,97.1,29.6,2435,89.2,89.79,17,100,25,0.5999999999999943,6.81,120,150,119,150,302,326,300,"-1.83","1.83","71.8","6.9",48,41,7,1,1,5,7,14.6,0,0,2.03728,0.89784,-0.14352,-0.07369,"93.9",231,63.41463414634146,29.268292682926827,25,6.8,-1.07,0,3.04,0.292,12,"1.464",0.325,0.81,"-1.464",-0.009,-0.03300000000000003,-0.114,-0.097,17,"56.5",6.660541634368532,2.4710396556139127,29.673631136152334,0.5104166666666666,35.877764270372076,26.917546497033708
119,669358,"Baz, Shane",120,99.2,0.409,0.386,0.361,0.795,0.498,0.45,0.356,18,44,92.9,17.4,2443,91.6,91.64,13,89,30,0,6.35,108,148,117,149,300,323,296,"-4.185","4.185","69.8","6.7",45,41,11,2,0,5,4,8.9,0,0,2.15658,0.5875,0.27529,-0.14471,"92.7",190,53.65853658536586,21.951219512195124,20,5.8,-1.49,0.01,3.05,0.4,9,"3.516806723",0.35,0.719,"-3.516806723",0.053,0.050000000000000044,0.076,0.048,14.6,"36.5",3.8025679493523175,6.7346745638940595,29.78484585564834,0.4186046511627907,36.21034860704796,25.1168007840559
117,622491,"Castillo, Luis",117,100,0.2,0.2,0.194,0.4,0.253,0.303,0.247,8,40,93.1,27.9,2177,94.6,93,18,102,15,-1.5999999999999943,5.42,112,147,118,146,289,321,296,"6.227","-6.227","72.6","6.8",40,33,4,2,0,2,7,17.5,0,0,1.69162,0.86957,1.09128,-0.07744,"91.6",215,57.57575757575758,12.121212121212121,10,5.14,-2.15,0,3.03,0.2,4,"-5.322222222",0.247,0.471,"5.322222222",-0.047,-0.046999999999999986,-0.071,-0.05,17.6,"16.8",6.899933845213585,6.516772145681692,28.057912732921878,0.53,36.56137440079487,25.831269895198623
114,676979,"Crochet, Garrett",114,100,0.359,0.282,0.393,0.641,0.425,0.325,0.278,14,39,90.4,15.7,2474,94.3,94.88,19,90,24,0.6000000000000085,6.74,110,150,113,146,295,321,290,"-0.322","0.322","71.0","6.8",39,31,9,2,0,3,8,20.5,0,0,1.59395,0.99351,0.41149,-0.36096,"91.2",195,45.16129032258064,9.67741935483871,7.6923076923076925,6.09,2.53,0.02,2.99,0.359,3,"0.28245614",0.278,0.485,"-0.28245614",0.081,0.08099999999999996,0.156,0.1,21.1,"33.9",5.341448971114822,9.36874065955926,29.189082085205822,0.4111111111111111,36.74832516119267,23.609651485790696
114,693433,"Woo, Bryan",114,100,0.257,0.057,0.321,0.314,0.248,0.299,0.271,9,35,93.8,24.1,2297,95.2,95.37,27,101,13,0.20000000000000284,6.49,117,147,115,147,288,319,296,"4.017","-4.017","71.4","6.6",35,28,7,2,0,0,7,20,0,0,1.51114,1.01912,0.86596,-0.14316,"91.5",188,53.57142857142857,3.571428571428571,2.857142857142857,5.05,-1.4,0,3.08,0.257,1,"-3.523684211",0.271,0.431,"3.523684211",-0.014,-0.014000000000000012,-0.117,-0.051,26.7,"25.7",3.1556468254003702,10.298703887919022,28.702787067865312,0.31313131313131315,35.92013107466359,23.003105063166995
112,641793,"Littell, Zack",112,100,0.293,0.366,0.229,0.659,0.398,0.412,0.318,12,41,91.6,16,1977,89.6,89.52,8,85,27,-0.09999999999999432,6.21,108,149,114,149,298,324,295,"-0.227","0.227","71.7","6.8",41,39,5,3,0,4,2,4.9,0,0,1.9417,0.9067,0.53214,0.12732,"92.0",187,44.73684210526316,15.789473684210526,14.634146341463413,6.12,-0.71,0,3.01,0.293,6,"0.202678571",0.318,0.663,"-0.202678571",-0.025,-0.025000000000000022,-0.004,-0.014,9.4,"39.3",7.119630016116322,4.69017667957535,27.23886181140031,0.5421686746987951,35.88500316204667,26.80078992770938
111,668909,"Williams, Gavin",111,100,0.367,0.5,0.292,0.867,0.514,0.439,0.335,11,30,94.5,22.6,2299,94.3,95.25,22,83,28,1,6.91,110,149,123,148,299,319,298,"-1.344","1.344","70.6","6.7",30,28,4,3,0,4,2,6.7,0,0,1.65414,0.93622,0.60309,-0.13945,"92.6",205,53.57142857142857,28.57142857142857,26.666666666666668,6.02,-2.81,0,3.06,0.367,8,"1.210810811",0.335,0.715,"-1.210810811",0.032,0.03199999999999997,0.152,0.075,26.5,"34.4",4.673803881173827,9.600609056968878,29.354823112055836,0.44871794871794873,36.89355065047663,22.725764265173982
110,657746,"Ryan, Joe",110,100,0.258,0.355,0.227,0.613,0.363,0.444,0.29,8,31,96,30.9,2293,91.9,92.47,23,89,21,0.5999999999999943,6.75,113,148,117,150,299,327,295,"1.671","-1.671","71.2","6.7",31,25,3,2,0,3,6,19.4,0,0,1.758,0.97036,0.85136,0.029,"92.3",236,64,28.000000000000004,22.58064516129032,4.79,-2.46,0.02,2.99,0.258,7,"-1.519090909",0.29,0.781,"1.519090909",-0.032,-0.03199999999999997,-0.168,-0.081,25.8,"25.2",6.509298612254562,7.356827531863702,27.461429501495246,0.5057471264367817,35.9010230411083,26.479437307476402
110,592662,"Ray, Robbie",110,100,0.195,0.195,0.194,0.39,0.241,0.279,0.2,8,41,93.1,29.1,2319,92.1,91.67,18,89,21,-0.3999999999999915,6.11,110,150,120,148,295,324,293,"2.63","-2.63","71.0","6.7",43,34,4,2,0,2,9,20.9,0,0,1.36882,1.33945,0.55709,-0.22782,"92.4",214,48.484848484848484,21.21212121212121,16.27906976744186,6.22,2.59,0.03,3.06,0.19,7,"-2.390909091",0.209,0.441,"2.390909091",-0.005,-0.01899999999999999,-0.051,-0.038,20.2,"46.5",5.237688263390156,7.328596531570453,28.180798796503684,0.4470588235294118,35.896822190218835,24.78108720040718
109,656605,"Keller, Mitch",109,100,0.267,0.178,0.297,0.444,0.302,0.323,0.31,12,45,93.3,21.6,2455,92,92.54,16,89,20,0.5,6.57,108,147,114,148,292,312,296,"1.312","-1.312","70.0","6.5",45,38,6,5,0,1,7,15.6,0,0,1.77725,0.93257,0.43917,-0.1456,"92.0",191,36.84210526315789,7.894736842105263,6.666666666666667,5.81,-1.84,0,3,0.267,3,"-1.203669725",0.31,0.44,"1.203669725",-0.043,-0.04299999999999998,0.004,-0.021,18,"37.3",3.1768458737245058,11.280705847802446,29.784220621557505,0.45977011494252873,35.50512845790185,24.190814403387776
106,669022,"Gore, MacKenzie",106,100,0.25,0.375,0.174,0.625,0.354,0.342,0.268,8,32,95,28.1,2238,92.6,93.43,19,90,16,0.8000000000000114,6.87,110,149,121,148,299,322,298,"-0.126","0.126","71.3","6.8",33,27,4,0,0,4,6,18.2,0,0,1.68623,1.00774,0.32123,-0.20972,"91.4",213,51.85185185185185,14.814814814814813,12.121212121212121,5.69,1.94,0.01,3.01,0.242,4,"0.118867925",0.26,0.569,"-0.118867925",-0.018,-0.018000000000000016,0.056,0.012,21.1,"43.8",5.340959298647098,8.37128835681721,27.816885241936397,0.4444444444444444,36.66368501931813,24.28068664277188
104,669373,"Skubal, Tarik",104,100,0.28,0.72,0.067,1,0.524,0.493,0.303,7,25,95.4,26.9,2258,95,95.24,21,80,24,0.20000000000000284,6.47,111,152,116,148,303,329,292,"-3.053","3.053","70.7","6.6",25,21,1,0,0,6,4,16,0,0,1.47683,1.07413,0.53202,-0.33587,"91.7",223,57.14285714285714,28.57142857142857,24,6.16,1.67,-0.01,3.02,0.28,6,"2.935576923",0.303,0.896,"-2.935576923",-0.023,-0.022999999999999965,0.104,0.031,26.3,"50.6",2.7992682990011972,12.66406993700811,29.099605117059077,0.3625,36.51425439931498,21.948613167017257
103,676440,"Bibee, Tanner",103,100,0.244,0.098,0.273,0.341,0.252,0.235,0.226,10,41,90.6,21.4,2390,89.5,90.1,16,72,31,0.5999999999999943,6.62,109,149,123,149,297,320,296,"5.225","-5.225","71.3","6.8",41,34,8,1,0,1,7,17.1,0,0,2.13981,0.7335,0.06204,-0.07155,"91.8",152,32.35294117647059,5.88235294117647,4.878048780487805,6.34,-2.15,0.01,3.01,0.244,2,"-5.072815534",0.226,0.317,"5.072815534",0.018,0.017999999999999988,0.024,0.017,22.2,"54.7",7.375335653993097,4.277124438665598,29.634147458813707,0.5441176470588235,35.89327957564198,26.80708448648669
103,680730,"Parker, Mitchell",103,100,0.162,0.216,0.125,0.378,0.225,0.33,0.272,6,37,90.9,25.1,2140,90.1,91.05,8,84,19,1,6.86,109,150,120,149,303,323,299,"6.148","-6.148","70.6","6.7",37,34,2,2,0,2,3,8.1,0,0,1.74136,1.08883,0.32608,-0.17667,"91.4",197,44.11764705882353,14.705882352941178,13.513513513513514,6.28,1.39,0.01,3.02,0.162,5,"-5.968932039",0.272,0.509,"5.968932039",-0.11,-0.11000000000000001,-0.131,-0.105,9.5,"62.5",5.688646880189592,6.447688313688139,27.587791978838073,0.5,36.401272768182906,26.216637744082636
100,622663,"Severino, Luis",100,100,0.345,0.034,0.385,0.379,0.317,0.315,0.318,10,29,92,13.3,2277,92.9,92.68,14,82,18,-0.20000000000000284,6.26,113,148,115,148,300,325,296,"3.561","-3.561","70.4","6.6",29,26,9,1,0,0,3,10.3,0,0,1.6931,0.9815,0.2073,0.2875,"91.2",185,46.15384615384615,0,0,5.97,-1.98,-0.03,2.99,0.345,0,"-3.561",0.318,0.409,"3.561",0.027,0.02699999999999997,-0.03,0.002,17.1,"40.3",5.051503188058952,9.299093217288865,30.25051973078116,0.3875,35.56863051664148,23.934169763206242
97,571510,"Boyd, Matthew",97,100,0.367,0,0.423,0.367,0.324,0.368,0.339,11,30,89.6,18.2,2270,88.5,88.43,7,76,21,-0.09999999999999432,6.34,108,151,116,151,302,321,297,"3.001","-3.001","69.5","6.8",30,26,11,0,0,0,4,13.3,0,0,2.26474,0.74354,0.80113,-0.58381,"91.0",170,42.30769230769231,7.6923076923076925,6.666666666666667,5.51,2.3,0.01,3.01,0.367,2,"-3.093814433",0.339,0.519,"3.093814433",0.028,0.02799999999999997,-0.152,-0.044,9.2,"26.0",3.91558558306885,6.841236601415248,28.193849714282784,0.4,37.43417844073984,26.01600866762541
97,676664,"Sears, JP",97,100,0.3,0.125,0.367,0.425,0.312,0.267,0.235,12,40,87.9,24.6,2153,86.6,86.6,13,76,21,0,6.4,111,151,117,147,303,324,295,"1.996","-1.996","71.4","7.0",41,32,9,2,0,1,9,22,0,0,2.19144,0.91268,0.1833,-0.15794,"91.7",194,46.875,6.25,4.878048780487805,4.89,1.24,0.02,3,0.3,2,"-2.057731959",0.235,0.395,"2.057731959",0.065,0.065,0.03,0.045,17.1,"26.2",9.246610947180116,2.3247978422403124,28.986601313262888,0.4794520547945205,35.21923965645697,28.161389244462782
96,657277,"Webb, Logan",96,100,0.32,0.2,0.333,0.52,0.344,0.275,0.245,8,25,89.8,20.5,2106,91,91.75,7,60,36,0.7999999999999972,6.77,113,147,118,146,294,323,297,"2.104","-2.104","69.4","6.4",26,22,5,2,0,1,4,15.4,0,0,2.51469,0.24969,0.65073,-0.19115,"90.6",195,31.818181818181817,9.090909090909092,7.6923076923076925,5.05,-2,0.02,3.01,0.308,2,"-2.191666667",0.236,0.427,"2.191666667",0.075,0.07200000000000001,0.093,0.069,11.7,"23.6",2.301176948296964,14.121052277593792,30.512548597456888,0.4482758620689655,36.54309614151807,22.449829234807964
95,663623,"Irvin, Jake",95,100,0.325,0.4,0.265,0.725,0.429,0.471,0.35,13,40,93.5,22.4,2357,89.2,90.54,8,73,22,1.2999999999999972,7.08,112,149,118,150,303,326,301,"-4.385","4.385","70.6","6.6",41,38,5,4,0,4,3,7.3,0,0,2.17779,0.72684,0.53084,-0.05253,"93.4",205,57.89473684210527,18.421052631578945,17.073170731707318,5.7,-2.27,0.01,2.99,0.317,7,"4.615789474",0.343,0.806,"-4.615789474",-0.025,-0.026000000000000023,-0.081,-0.042,11,"27.6",6.849251381853074,6.699162637802457,27.773438390129463,0.5138888888888888,35.41653296433118,27.859080184909484
94,579328,"Kikuchi, Yusei",94,100,0.324,0.378,0.296,0.703,0.431,0.378,0.298,12,37,93.8,19,2219,89.9,90.71,17,71,23,0.7999999999999972,6.77,107,149,115,147,305,326,300,"-2.25","2.25","71.3","6.6",37,31,6,2,0,4,6,16.2,0,0,2.11309,0.7334,0.26606,-0.16479,"93.5",213,54.83870967741935,16.129032258064516,13.513513513513514,5.36,2.42,0,3.01,0.324,5,"2.393617021",0.298,0.601,"-2.393617021",0.026,0.026000000000000023,0.102,0.053,23.9,"35.7",4.100528577769829,9.85949293685062,28.345295735095128,0.37681159420289856,35.97603439041511,24.54869283504631
94,686752,"Pepiot, Ryan",94,100,0.375,0.45,0.294,0.825,0.49,0.5,0.378,15,40,94.8,22.7,2461,92.5,93.33,12,83,11,0.7999999999999972,6.67,112,149,119,149,299,325,293,"-4.314","4.314","71.7","6.8",41,39,8,1,1,5,2,4.9,0,0,1.45351,1.22441,0.39021,-0.13617,"93.5",250,51.28205128205128,23.076923076923077,21.951219512195124,5.93,-0.87,0.01,3.04,0.366,9,"4.589361702",0.384,0.774,"-4.589361702",-0.003,-0.018000000000000016,0.051,-0.01,14.5,"42.8",6.00055438718643,6.284494339120947,29.363787312044586,0.4074074074074074,36.01720827256406,25.18714517392942
94,665152,"Kremer, Dean",94,100,0.194,0.097,0.185,0.29,0.202,0.299,0.244,6,31,91.9,26.4,2135,90.1,89.64,8,71,23,-0.5,6.11,114,148,118,148,299,327,300,"5.716","-5.716","70.9","6.9",32,28,5,0,0,1,4,12.5,0,0,1.7816,1.06723,0.57766,0.00681,"91.4",198,42.857142857142854,10.714285714285714,9.375,6.16,-2.23,-0.01,3,0.188,3,"-6.080851064",0.237,0.49,"6.080851064",-0.05,-0.04899999999999999,-0.2,-0.097,11.3,"41.9",8.923988683502044,3.67204928262535,28.278432226638188,0.5492957746478874,36.673428293337075,26.61453933189809
93,669467,"Pallante, Andre",93,100,0.314,0.257,0.29,0.571,0.375,0.411,0.353,11,35,91.7,3.5,2341,91.4,91.91,4,63,30,0.5,6.49,112,148,113,149,299,324,296,"-0.188","0.188","67.8","6.2",36,33,6,3,0,2,2,5.6,0,0,2.25376,0.49645,0.00956,-0.00868,"93.4",152,54.54545454545454,15.151515151515152,13.88888888888889,6.13,-1.62,0,3.01,0.314,5,"0.202150538",0.353,0.619,"-0.202150538",-0.039,-0.03899999999999998,-0.048,-0.036,6.3,"57.7",2.532656128360001,17.476187177530296,29.789408856414422,0.4098360655737705,35.966490357227514,23.006952121597664
93,701542,"Warren, Will",93,100,0.194,0.387,0.118,0.581,0.32,0.367,0.261,6,31,96.4,25.3,2577,92.2,92.88,19,70,23,0.7000000000000028,6.77,114,150,121,151,292,321,285,"2.266","-2.266","70.8","6.7",31,21,2,0,0,4,10,32.3,0,0,1.72462,0.97742,0.58849,0.11409,"92.5",201,52.38095238095239,28.57142857142857,19.35483870967742,5.51,-2.48,0.03,2.98,0.194,6,"-2.43655914",0.261,0.619,"2.43655914",-0.067,-0.067,-0.038,-0.047,27.1,"26.5",6.070393405352349,8.152814120458233,29.753273987674596,0.5797101449275363,35.91566248664866,25.190825364731786
92,694973,"Skenes, Paul",92,100,0.323,0.355,0.4,0.677,0.419,0.315,0.253,10,31,92.8,18.8,2241,95.1,95.71,20,70,22,0.6000000000000085,6.68,110,149,114,149,292,312,292,"-1.226","1.226","70.6","6.7",31,22,3,5,0,2,9,29,0,0,1.76033,0.79217,0.75739,-0.02152,"92.3",191,63.63636363636363,13.636363636363635,9.67741935483871,5.6,-2.41,0.01,2.99,0.323,3,"1.332608696",0.253,0.498,"-1.332608696",0.07,0.07,0.179,0.104,28.6,"23.6",4.566406764470459,7.521795928196342,29.068014207604573,0.42857142857142855,35.79407923121887,25.127429877022475
91,656302,"Cease, Dylan",91,100,0.31,0.379,0.286,0.69,0.405,0.337,0.261,9,29,92.5,32.3,2569,94.9,94.81,13,69,22,-0.10000000000000853,6.37,117,149,122,150,302,324,298,"0.45","-0.45","71.0","6.8",30,24,4,2,0,3,6,20,0,0,1.37571,1.19099,0.24778,-0.08667,"92.0",223,45.83333333333333,16.666666666666664,13.333333333333334,6.22,-1.36,-0.01,3.03,0.3,4,"-0.494505495",0.253,0.572,"0.494505495",0.049,0.046999999999999986,0.118,0.068,18.8,"53.1",6.282156760612467,5.842928468415933,30.12147885067831,0.4782608695652174,35.44793288484705,25.191543061590576
90,669194,"Nelson, Ryne",90,100,0.229,0.229,0.222,0.457,0.289,0.335,0.277,8,35,91.8,21.8,2268,93.7,94.65,17,78,12,0.8999999999999915,6.86,110,150,118,149,301,324,297,"3.2","-3.2","70.3","6.6",35,29,4,2,0,2,6,17.1,0,0,1.32022,1.29467,0.16112,0.02135,"91.0",210,34.48275862068966,6.896551724137931,5.714285714285714,6.2,-1.21,0,3.04,0.229,2,"-3.555555556",0.277,0.517,"3.555555556",-0.048,-0.048000000000000015,-0.06,-0.046,21.8,"54.2",4.145618742897103,8.921775501734615,28.66120143402658,0.39473684210526316,35.56170034423847,23.74297063204535
90,608331,"Fried, Max",90,100,0.179,0.25,0.19,0.429,0.249,0.204,0.18,5,28,92.5,26.2,2320,91.1,91.41,10,58,32,0.30000000000001137,6.46,112,151,121,151,291,320,284,"4.895","-4.895","70.6","6.5",28,22,2,0,2,1,6,21.4,0,0,2.26811,0.52689,-0.08278,0.01989,"91.6",200,40.909090909090914,4.545454545454546,3.571428571428571,6.02,1.53,0.02,3.02,0.179,1,"-5.438888889",0.18,0.302,"5.438888889",-0.001,-0.0010000000000000009,0.127,0.045,17.2,"46.6",1.519319468017545,16.687822367112297,28.513406148157323,0.3157894736842105,37.0451735610138,21.361254695577866
89,680573,"Woods Richardson, Simeon",89,100,0.1,0.15,0.059,0.25,0.146,0.225,0.173,2,20,89.2,40,2204,89.4,89.89,12,72,17,0.5,6.68,113,147,120,150,298,328,294,"4.228","-4.228","72.8","6.8",20,18,1,0,0,1,2,10,0,0,1.90225,0.99562,0.14708,-0.01787,"90.6",197,38.88888888888889,11.11111111111111,10,6.44,-1.23,0.02,3.03,0.1,2,"-4.750561798",0.173,0.363,"4.750561798",-0.073,-0.07299999999999998,-0.113,-0.079,16.7,"46.5",6.922957078418846,6.217843284113858,30.058560547292725,0.5070422535211268,35.992961330174424,25.508048220816015
89,683004,"Leiter, Jack",89,100,0.19,0.143,0.2,0.333,0.223,0.275,0.222,4,21,88.5,34,2361,94.2,94.86,16,69,20,0.7000000000000028,6.84,112,148,113,150,291,324,299,"4.168","-4.168","71.0","6.8",21,16,3,0,0,1,5,23.8,0,0,1.58292,1.0209,0.60416,-0.07899,"89.4",200,18.75,6.25,4.761904761904762,5.57,-1.6,0.01,3.01,0.19,1,"-4.683146067",0.222,0.423,"4.683146067",-0.032,-0.032,-0.09,-0.052,23.2,"44.5",6.961993700750474,6.546155683005051,27.965667210801634,0.463768115942029,36.57230022390428,26.17356846426781
