Name,Team,PA,FF,wFT/C,FC,FS,wFO/C,SI,SL,CU,wKC/C,wEP/C,CH,wSC/C,wKN/C,NameASCII,PlayerId,MLBAMID
"Nick Castellanos","PHI",589,-1.1566111739252654,,-1.035148473013015,2.558800002984833,,-0.4087862284744487,-0.2815443436540553,-1.3292916705099385,1.7270951043991816,,-0.5179771549625484,,16.002821922302246,"Nick Castellanos",11737,592206
"Ketel Marte","ARI",556,1.0539977145231518,,4.138253313122374,0.004088205924211455,,-1.5338872475598855,0.7470333266201876,2.7560881370507575,7.534412542978923,-7.206751108169556,2.0512632348320703,,8.921898901462555,"Ketel Marte",13613,606466
"Chase Meidroth","CHW",505,0.06727280433632246,,-0.24976369991801142,3.6080564222028175,,-1.0119736194610596,-1.3456541877548183,1.8425136804580688,-1.7011526558134291,,-2.224425592366055,,3.5962454974651337,"Chase Meidroth",31580,805367
"Trea Turner","PHI",639,0.9153597453642174,,1.339504852161541,1.5309958315607326,-7.098075747489929,1.0379957017444428,1.7569862650806793,-1.2514706471520012,-1.59081777968964,46.39679590861003,-0.041223282210305016,,3.561019003391266,"Trea Turner",16252,607208
"Jacob Wilson","ATH",523,0.8822885833302344,,-0.23709793090820314,4.348031212301815,,-1.9047307968139648,2.1296406713660785,-0.13626714547475177,8.539081536806545,,5.123756726582845,,3.507758677005768,"Jacob Wilson",33266,805779
"Wyatt Langford","TEX",573,1.0008784502226027,,-0.546291757778949,-0.20725137243668237,,-0.2159545625128397,0.36442951417305103,-1.0091538390805643,4.970244099112118,35.189708073933915,0.05661362507304207,,3.507758677005768,"Wyatt Langford",33333,694671
"Trevor Story","BOS",654,-0.8551631459938566,,0.925281406503863,-0.601646349980281,0.7554743438959122,0.5883013581953986,1.822768178587069,-1.0494989844468923,-4.065585643687147,20.615392923355103,0.5939030647277832,,0.9711117297410966,"Trevor Story",12564,596115
"Alec Bohm","PHI",504,0.1764339364093283,,2.4488534098086148,1.4626567733698879,3.6378834396600723,-2.844827969868978,-0.11565900920482164,1.034056071577401,2.9867271097694954,-30.201393365859985,3.0752508980887274,,0.6537792272865772,"Alec Bohm",21618,664761
"Kyle Schwarber","PHI",724,2.948058616476665,,2.454130197393483,0.3878297131569659,-6.183432415127754,2.175352421212704,-0.008852015277505077,0.7773060634218413,-3.5266463718717063,-6.39261245727539,2.0692874816049756,,0.14096334990527895,"Kyle Schwarber",16478,656941
"Josh Smith","TEX",563,0.05001821698308273,,0.44920471938032847,0.469178126917945,,1.467204899401278,-0.035831171113091545,-1.5171387952244926,-1.0926534732182822,16.73971563577652,-0.1833462196847667,,-1.5978902578353882,"Josh Smith",26396,669701
"Bryson Stott","PHI",560,0.7073972454708077,,-0.4547271152470736,0.3267918134990491,-8.371018369992573,-2.2173351116394726,0.3611100263314337,-0.18594852932121445,3.276835303557547,-5.064695701003075,0.463239053885142,,-3.033306698004405,"Bryson Stott",26294,681082
