Name,Team,IP,FF,wFT/C,FC,FS,wFO/C,SI,SL,CU,wKC/C,wEP/C,CH,wSC/C,wKN/C,NameASCII,PlayerId,MLBAMID
"Jacob deGrom","TEX",172.2,1.614261446451011,,,,,,0.8853211892827482,1.0573171135178185,,,0.2179101564116397,,,"Jacob deGrom",10954,594798
"Merrill Kelly","- - -",184,0.48344311890778713,,1.587012723062617,,,-2.102481252268741,2.557206758992926,-0.35737317844028893,,,0.9519091628967448,,,"Merrill Kelly",11156,518876
"Robbie Ray","SFG",182.1,0.8078978128941455,,,,,,0.41195326908068225,,-1.9556568639297691,,-0.12437903642056877,,,"Robbie Ray",11486,592662
"Kyle Hendricks","LAA",164.2,0.3087833523750305,,,,,-0.5169454271584567,,-3.2448694391070667,,,0.5908364582931379,,,"Kyle Hendricks",12049,543294
"Chris Bassitt","TOR",170.1,-0.34904615960646945,,-0.48051146657895843,-4.780863976293756,,0.1614078247415706,-0.3860810741049344,1.1129396991885225,,,-1.1591227431046336,,,"Chris Bassitt",12304,605135
"Nick Martinez","CIN",165.2,-0.8293296466363925,,0.4293734337384011,,,0.3451541302696107,-0.29405914105389963,0.5051798803705565,,,0.023079666436887254,,,"Nick Martinez",12730,607259
"Sonny Gray","STL",180.2,-1.0010804280196086,,-0.20589251504387965,,,-0.9002200644817715,1.3646210583162979,1.3443509337887678,0.26658009737730026,,-2.4177863608281167,,,"Sonny Gray",12768,543243
"Clay Holmes","NYM",165.2,0.5264722165607271,,1.1106086903003627,,,0.43495002203511646,-0.5210614508585971,,,,0.6842103424585527,,,"Clay Holmes",13649,605280
"Max Fried","NYY",195.1,0.6298222899128916,,1.2665984827444094,,,0.692402342919213,0.09902840980158283,0.6613129344066427,,,0.5673086188755427,,,"Max Fried",13743,608331
"Michael Wacha","KCR",172.2,0.12563956525041647,,0.35906146212321954,,,-1.526688525551244,-0.036204871204164296,-0.47352713288612736,,,2.4199368858619135,,,"Michael Wacha",14078,608379
"Kevin Gausman","TOR",193,1.245237158323096,,,0.8155845400525901,,10.174022614955902,-1.5106002640814835,,,,,,,"Kevin Gausman",14107,592332
"José Berríos","TOR",166,-0.44469617689067353,,-0.37770396784732213,,,0.4882761390245705,,-0.24308729722496294,,,-0.313226143885318,,,"Jose Berrios",14168,621244
"Matthew Boyd","CHC",179.2,0.9843735859311861,,,,,-0.6963318527334987,0.16520480607070176,-0.8240976517606777,,,1.6360479501577523,,,"Matthew Boyd",15440,571510
"Nick Pivetta","SDP",181.2,1.1734807636679672,,1.618032493138973,1.8673792481422424,,2.6582945764592263,1.1370603093561136,0.6345940981539065,,,,,,"Nick Pivetta",15454,601713
"Luis Castillo","SEA",180.2,0.8105586273501617,,,,,0.3239233680012398,0.2825115310343224,,,,-1.4827078931471882,,,"Luis Castillo",15689,622491
"Zack Littell","- - -",186.2,0.9233927154747789,,,-0.30836778988675495,,0.030780749374561097,-0.006075771545792457,,,,,,,"Zack Littell",15823,641793
"Luis Severino","ATH",162.2,0.022008880874179057,,0.596396328268311,,,0.3431325227441922,0.04800476190698055,,,,-4.334282710634429,,,"Luis Severino",15890,622663
"Carlos Rodón","NYY",195.1,0.7602595147632417,,9.098597764968872,,,1.8138987346760278,1.4814416523961613,-1.85394287109375,,,1.2894134300981641,,,"Carlos Rodon",16137,607074
"Kyle Freeland","COL",162.2,-1.3142100874199925,,-0.5911409854888916,,,-2.13142728805542,-0.7272240500780022,,0.7137284602647946,,-1.1578254148262699,,,"Kyle Freeland",16256,607536
"Framber Valdez","HOU",192,-1.21456425298344,,,,,1.2609895670189049,0.8729296726184888,-0.02189108259127307,,,0.2019680428550185,,,"Framber Valdez",17295,664285
"Mitch Keller","PIT",176.1,0.21917642955493208,,-21.64376974105835,,,0.539225913267541,-0.05802251870119119,-0.6351840496063232,,,-0.985345093890874,,,"Mitch Keller",17594,656605
"Jeffrey Springs","ATH",171,-0.2485670866789641,,-1.9553489838877032,,,,1.0040297061008066,,,,0.10355035463968912,,,"Jeffrey Springs",17677,605488
"Logan Webb","SFG",207,0.31104348599910736,,-1.6001261339224442,,,0.8483807967059624,-0.43037336443434604,,,,1.5298960184810138,,,"Logan Webb",17995,657277
