"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Webb, Logan","657277","2025","856","579",0.264,0.249,0.015000000000000013,0.386,0.377,0.009000000000000008,0.303,0.294,0.009000000000000008,"3.22","3.58","-0.363"
"Crochet, Garrett","676979","2025","814","509",0.217,0.212,0.0050000000000000044,0.353,0.345,0.008000000000000007,0.27,0.266,0.0040000000000000036,"2.59","2.91","-0.324"
"Gallen, Zac","668678","2025","813","568",0.239,0.245,-0.006000000000000005,0.426,0.427,-0.0010000000000000009,0.315,0.319,-0.0040000000000000036,"4.83","4.28","0.548"
"Sánchez, Cristopher","650911","2025","807","545",0.227,0.227,0,0.321,0.338,-0.017000000000000015,0.264,0.271,-0.007000000000000006,"2.50","3.02","-0.525"
"Valdez, Framber","664285","2025","802","540",0.238,0.243,-0.0050000000000000044,0.358,0.362,-0.0040000000000000036,0.295,0.301,-0.006000000000000005,"3.66","3.77","-0.114"
"Fried, Max","608331","2025","801","551",0.223,0.236,-0.012999999999999984,0.334,0.354,-0.019999999999999962,0.272,0.287,-0.014999999999999958,"2.86","3.41","-0.553"
"Rodón, Carlos","607074","2025","789","504",0.188,0.208,-0.01999999999999999,0.321,0.342,-0.02100000000000002,0.266,0.283,-0.01699999999999996,"3.09","3.31","-0.223"
"Irvin, Jake","663623","2025","787","595",0.272,0.278,-0.006000000000000005,0.492,0.498,-0.006000000000000005,0.355,0.36,-0.0050000000000000044,"5.70","5.63","0.07"
"Gausman, Kevin","592332","2025","775","531",0.216,0.24,-0.023999999999999994,0.358,0.397,-0.039000000000000035,0.273,0.299,-0.025999999999999968,"3.59","3.72","-0.129"
"Kikuchi, Yusei","579328","2025","772","521",0.261,0.253,0.008000000000000007,0.419,0.421,-0.0020000000000000018,0.327,0.326,0.0010000000000000009,"3.99","4.49","-0.503"
"Pfaadt, Brandon","694297","2025","767","570",0.279,0.29,-0.010999999999999954,0.469,0.49,-0.02100000000000002,0.339,0.353,-0.013999999999999957,"5.25","5.38","-0.133"
"Bibee, Tanner","676440","2025","762","536",0.246,0.229,0.016999999999999987,0.412,0.381,0.030999999999999972,0.313,0.296,0.017000000000000015,"4.25","3.64","0.605"
"Littell, Zack","641793","2025","759","587",0.244,0.259,-0.015000000000000013,0.445,0.453,-0.008000000000000007,0.311,0.323,-0.01200000000000001,"3.81","4.40","-0.591"
"Luzardo, Jesús","666200","2025","758","482",0.24,0.23,0.009999999999999981,0.356,0.35,0.006000000000000005,0.29,0.285,0.0050000000000000044,"3.92","3.36","0.56"
"Ray, Robbie","592662","2025","755","492",0.221,0.222,-0.0010000000000000009,0.383,0.374,0.009000000000000008,0.299,0.298,0.0010000000000000009,"3.65","3.69","-0.037"
"Gray, Sonny","543243","2025","753","508",0.262,0.253,0.009000000000000008,0.424,0.411,0.013000000000000012,0.314,0.306,0.008000000000000007,"4.28","3.91","0.374"
"Keller, Mitch","656605","2025","749","537",0.249,0.263,-0.014000000000000012,0.405,0.42,-0.014999999999999958,0.313,0.325,-0.01200000000000001,"4.18","4.46","-0.275"
"Skubal, Tarik","669373","2025","748","469",0.2,0.208,-0.00799999999999998,0.319,0.339,-0.020000000000000018,0.245,0.257,-0.01200000000000001,"2.21","2.71","-0.498"
"Kelly, Merrill","518876","2025","748","531",0.226,0.252,-0.025999999999999995,0.384,0.422,-0.03799999999999998,0.288,0.315,-0.027000000000000024,"3.52","4.16","-0.638"
"Castillo, Luis","622491","2025","745","530",0.244,0.248,-0.0040000000000000036,0.402,0.412,-0.009999999999999953,0.304,0.312,-0.008000000000000007,"3.54","4.07","-0.533"
"Alcantara, Sandy","645261","2025","745","536",0.247,0.264,-0.017000000000000015,0.404,0.425,-0.020999999999999963,0.311,0.329,-0.018000000000000016,"5.36","4.58","0.779"
"Bassitt, Chris","605135","2025","736","505",0.261,0.255,0.006000000000000005,0.415,0.399,0.01599999999999996,0.324,0.317,0.007000000000000006,"3.96","4.22","-0.257"
"Skenes, Paul","694973","2025","733","469",0.199,0.203,-0.0040000000000000036,0.307,0.314,-0.007000000000000006,0.247,0.253,-0.006000000000000005,"1.97","2.63","-0.664"
"Woo, Bryan","693433","2025","731","493",0.2,0.217,-0.016999999999999987,0.353,0.364,-0.01100000000000001,0.259,0.273,-0.014000000000000012,"2.94","3.07","-0.129"
"Brown, Hunter","686613","2025","729","459",0.201,0.22,-0.01899999999999999,0.318,0.334,-0.016000000000000014,0.262,0.277,-0.015000000000000013,"2.43","3.16","-0.732"
"Parker, Mitchell","680730","2025","725","560",0.273,0.301,-0.02799999999999997,0.466,0.494,-0.02799999999999997,0.342,0.367,-0.024999999999999967,"5.68","5.89","-0.206"
"Soriano, José","667755","2025","724","488",0.249,0.246,0.0030000000000000027,0.353,0.365,-0.01200000000000001,0.309,0.313,-0.0040000000000000036,"4.26","4.10","0.16"
"Peralta, Freddy","642547","2025","723","443",0.193,0.209,-0.015999999999999986,0.327,0.359,-0.03199999999999997,0.27,0.29,-0.019999999999999962,"2.70","3.48","-0.78"
"Peterson, David","656849","2025","723","500",0.258,0.272,-0.014000000000000012,0.37,0.4,-0.030000000000000027,0.311,0.329,-0.018000000000000016,"4.21","4.58","-0.365"
"Cease, Dylan","656302","2025","722","429",0.239,0.216,0.022999999999999993,0.399,0.353,0.04600000000000004,0.313,0.289,0.02400000000000002,"4.55","3.46","1.094"
"Pivetta, Nick","601713","2025","721","478",0.195,0.231,-0.036000000000000004,0.33,0.416,-0.08599999999999997,0.256,0.308,-0.05199999999999999,"2.87","3.96","-1.087"
"Boyd, Matthew","571510","2025","718","513",0.235,0.242,-0.007000000000000006,0.369,0.389,-0.020000000000000018,0.287,0.3,-0.013000000000000012,"3.21","3.74","-0.534"
"Wacha, Michael","608379","2025","716","540",0.252,0.26,-0.008000000000000007,0.383,0.416,-0.032999999999999974,0.299,0.317,-0.018000000000000016,"3.86","4.22","-0.363"
"Singer, Brady","663903","2025","716","479",0.238,0.247,-0.009000000000000008,0.404,0.405,-0.0010000000000000009,0.313,0.32,-0.007000000000000006,"4.03","4.31","-0.279"
"Pallante, Andre","669467","2025","715","536",0.27,0.262,0.008000000000000007,0.431,0.402,0.02899999999999997,0.334,0.322,0.01200000000000001,"5.31","4.37","0.941"
"Springs, Jeffrey","605488","2025","713","518",0.236,0.25,-0.014000000000000012,0.422,0.418,0.0040000000000000036,0.309,0.317,-0.008000000000000007,"4.11","4.22","-0.115"
"Baz, Shane","669358","2025","711","462",0.25,0.232,0.017999999999999988,0.433,0.377,0.055999999999999994,0.33,0.304,0.026000000000000023,"4.87","3.85","1.02"
"Warren, Will","701542","2025","711","470",0.25,0.255,-0.0050000000000000044,0.418,0.42,-0.0020000000000000018,0.321,0.329,-0.008000000000000007,"4.43","4.58","-0.145"
"Freeland, Kyle","607536","2025","709","541",0.294,0.284,0.010000000000000009,0.461,0.461,0,0.341,0.339,0.0020000000000000018,"4.98","4.90","0.08"
"Kremer, Dean","665152","2025","708","518",0.248,0.241,0.007000000000000006,0.407,0.401,0.00599999999999995,0.305,0.302,0.0030000000000000027,"4.19","3.80","0.394"
"Holmes, Clay","605280","2025","708","499",0.241,0.249,-0.008000000000000007,0.352,0.39,-0.038000000000000034,0.302,0.322,-0.020000000000000018,"3.53","4.37","-0.839"
"Severino, Luis","622663","2025","705","515",0.257,0.27,-0.013000000000000012,0.389,0.409,-0.019999999999999962,0.313,0.33,-0.017000000000000015,"4.54","4.61","-0.073"
"Williams, Gavin","668909","2025","704","445",0.211,0.233,-0.02200000000000002,0.364,0.396,-0.03200000000000003,0.299,0.319,-0.020000000000000018,"3.06","4.28","-1.22"
"Bello, Brayan","678394","2025","700","504",0.237,0.26,-0.02300000000000002,0.355,0.404,-0.049000000000000044,0.297,0.327,-0.030000000000000027,"3.35","4.52","-1.172"
"Berríos, José","621244","2025","698","497",0.253,0.259,-0.006000000000000005,0.43,0.449,-0.019000000000000017,0.325,0.337,-0.01200000000000001,"4.17","4.83","-0.655"
"Hendricks, Kyle","543294","2025","695","533",0.262,0.249,0.013000000000000012,0.447,0.403,0.043999999999999984,0.324,0.308,0.016000000000000014,"4.75","3.96","0.795"
"Rodriguez, Eduardo","593958","2025","694","489",0.286,0.261,0.024999999999999967,0.475,0.423,0.05199999999999999,0.353,0.327,0.025999999999999968,"5.01","4.52","0.495"
"Ryan, Joe","657746","2025","689","444",0.218,0.213,0.0050000000000000044,0.392,0.391,0.0010000000000000009,0.29,0.289,0.0010000000000000009,"3.42","3.46","-0.039"
"Abbott, Andrew","671096","2025","684","489",0.235,0.236,-0.0010000000000000009,0.374,0.381,-0.007000000000000006,0.288,0.294,-0.006000000000000005,"2.87","3.58","-0.712"
"Yamamoto, Yoshinobu","808967","2025","684","421",0.183,0.2,-0.017000000000000015,0.283,0.299,-0.016000000000000014,0.244,0.258,-0.014000000000000012,"2.49","2.74","-0.252"
"Martinez, Nick","607259","2025","683","519",0.254,0.258,-0.0040000000000000036,0.435,0.399,0.035999999999999976,0.317,0.309,0.008000000000000007,"4.46","3.99","0.465"
